"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SBAFT","Afutara",,"unlcdf:4",,"unlcdc:SB",,,"SBAFT"
"unlcd:SBAKS","Auki, Malaita Is",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBAKS"
"unlcd:SBALB","Allardyce Harbour, Sta Isabel Is",,"unlcdf:1",,"unlcdc:SB",,,"SBALB"
"unlcd:SBANH","Anuha Island",,"unlcdf:4",,"unlcdc:SB","-8.983334","160.21666","SBANH"
"unlcd:SBAOB","Aola Bay",,"unlcdf:1",,"unlcdc:SB",,,"SBAOB"
"unlcd:SBATD","Ato'ifi",,"unlcdf:4","unlcds:SBML","unlcdc:SB","-8.85","161.01666","SBATD"
"unlcd:SBAVU","Avu Avu, Guadalcanal Is",,"unlcdf:4",,"unlcdc:SB",,,"SBAVU"
"unlcd:SBBAS","Balalai Island",,"unlcdf:4",,"unlcdc:SB","-6.9833336","155.88333","SBBAS"
"unlcd:SBBNY","Bellona",,"unlcdf:4",,"unlcdc:SB","-11.283334","159.78334","SBBNY"
"unlcd:SBBPF","Batuna",,"unlcdf:4",,"unlcdc:SB",,,"SBBPF"
"unlcd:SBCHY","Choiseul Bay",,"unlcdf:1, unlcdf:4",,"unlcdc:SB","-6.7","156.43333","SBCHY"
"unlcd:SBEGM","Seghe",,"unlcdf:4",,"unlcdc:SB","-8.566667","157.88333","SBEGM"
"unlcd:SBFRE","Fera Island",,"unlcdf:4","unlcds:SBIS","unlcdc:SB","-8.1","159.58333","SBFRE"
"unlcd:SBGEF","Geva",,"unlcdf:4",,"unlcdc:SB",,,"SBGEF"
"unlcd:SBGSI","Guadalcanal",,"unlcdf:4",,"unlcdc:SB","-9.516666","160.18333","SBGSI"
"unlcd:SBGTA","Nggatokae Island",,"unlcdf:4",,"unlcdc:SB","-8.766666","158.18333","SBGTA"
"unlcd:SBGZO","Gizo",,"unlcdf:1, unlcdf:4",,"unlcdc:SB","-8.1","156.85","SBGZO"
"unlcd:SBHIR","Honiara, Guadalcanal Is",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SB",,,"SBHIR"
"unlcd:SBIRA","Kirakira, San Cristobal Is",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBIRA"
"unlcd:SBJJA","Jajao",,"unlcdf:4",,"unlcdc:SB","-8.2","159.26666","SBJJA"
"unlcd:SBKGE","Kaghau Island",,"unlcdf:4",,"unlcdc:SB","-7.3333335","157.58333","SBKGE"
"unlcd:SBKUE","Kukundu",,"unlcdf:4",,"unlcdc:SB",,,"SBKUE"
"unlcd:SBKWR","Kwai Harbour",,"unlcdf:4",,"unlcdc:SB",,,"SBKWR"
"unlcd:SBKWS","Kwailabesi",,"unlcdf:4",,"unlcdc:SB",,,"SBKWS"
"unlcd:SBLEV","Lever Harbour",,"unlcdf:1",,"unlcdc:SB","-8.016666","157.6","SBLEV"
"unlcd:SBLOF","Lofung",,"unlcdf:1",,"unlcdc:SB",,,"SBLOF"
"unlcd:SBMBU","Mbambanakira, Guadalcanal Is",,"unlcdf:4",,"unlcdc:SB",,,"SBMBU"
"unlcd:SBMNY","Mono",,"unlcdf:4",,"unlcdc:SB",,,"SBMNY"
"unlcd:SBMUA","Munda, New Georgia",,"unlcdf:4",,"unlcdc:SB",,,"SBMUA"
"unlcd:SBNAZ","Nana Apt / Star Harbour",,"unlcdf:4",,"unlcdc:SB","-10.783334","162.3","SBNAZ"
"unlcd:SBNEM","Nemba",,"unlcdf:1, unlcdf:3",,"unlcdc:SB","-10.766666","165.7","SBNEM"
"unlcd:SBNNB","Santa Ana",,"unlcdf:4",,"unlcdc:SB",,,"SBNNB"
"unlcd:SBNOR","Noro, New Georgia",,"unlcdf:1",,"unlcdc:SB",,,"SBNOR"
"unlcd:SBONE","Onepusu, Malaita Island",,"unlcdf:4",,"unlcdc:SB",,,"SBONE"
"unlcd:SBOTV","Ontong Java",,"unlcdf:4",,"unlcdc:SB",,,"SBOTV"
"unlcd:SBPRS","Parasi, Malaita Island",,"unlcdf:4",,"unlcdc:SB",,,"SBPRS"
"unlcd:SBPSG","Pulisingau",,"unlcdf:3",,"unlcdc:SB","-7.883333","157.16667","SBPSG"
"unlcd:SBRBV","Ramata",,"unlcdf:4",,"unlcdc:SB",,,"SBRBV"
"unlcd:SBRIN","Ringgi Cove, Kolombangara",,"unlcdf:1, unlcdf:4",,"unlcdc:SB","-8.116667","157.11667","SBRIN"
"unlcd:SBRNA","Arona",,"unlcdf:4","unlcds:SBCE","unlcdc:SB","-9.216666","161.21666","SBRNA"
"unlcd:SBRNL","Rennell Island",,"unlcdf:4",,"unlcdc:SB",,,"SBRNL"
"unlcd:SBRRI","Barora Ite Island",,"unlcdf:4",,"unlcdc:SB","-7.5833335","158.4","SBRRI"
"unlcd:SBRUS","Marau Sound, Guadalcanal Is",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBRUS"
"unlcd:SBSCZ","Santa Cruz Is",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBSCZ"
"unlcd:SBSHH","Shortland Harbour",,"unlcdf:1",,"unlcdc:SB","-7.0833335","155.86667","SBSHH"
"unlcd:SBSSG","Filuo",,"unlcdf:3",,"unlcdc:SB","-7.7666664","158.65","SBSSG"
"unlcd:SBSVY","Savo",,"unlcdf:4",,"unlcdc:SB",,,"SBSVY"
"unlcd:SBTAA","Tarapaina",,"unlcdf:4",,"unlcdc:SB",,,"SBTAA"
"unlcd:SBTLG","Tulagi, Ngella",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBTLG"
"unlcd:SBVAO","Suavanao",,"unlcdf:4",,"unlcdc:SB",,,"SBVAO"
"unlcd:SBVEV","Barakoma",,"unlcdf:4",,"unlcdc:SB",,,"SBVEV"
"unlcd:SBVIU","Viru Harbour",,"unlcdf:1, unlcdf:4",,"unlcdc:SB",,,"SBVIU"
"unlcd:SBXYA","Yandina, Russell Island",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:SB","-9.116667","159.21666","SBXYA"
