"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SDAAD","Ad Dabbah",,"unlcdf:4",,"unlcdc:SD",,,"SDAAD"
"unlcd:SDABY","Abyei",,"unlcdf:3","unlcds:SDKS","unlcdc:SD","9.6","28.433332","SDABY"
"unlcd:SDATB","Atbara",,"unlcdf:4",,"unlcdc:SD",,,"SDATB"
"unlcd:SDBTE","Omdurman",,"unlcdf:3","unlcds:SDKH","unlcdc:SD","15.633333","32.433334","SDBTE"
"unlcd:SDDNI","Wad Medani",,"unlcdf:4","unlcds:SDGZ","unlcdc:SD","14.4","33.483334","SDDNI"
"unlcd:SDDNX","Dinder",,"unlcdf:4",,"unlcdc:SD",,,"SDDNX"
"unlcd:SDDOG","Dongola",,"unlcdf:4","unlcds:SDNO","unlcdc:SD",,,"SDDOG"
"unlcd:SDEBD","El Obeid",,"unlcdf:4","unlcds:SDKN","unlcdc:SD","13.183333","30.216667","SDEBD"
"unlcd:SDEDB","Eldebba",,"unlcdf:4",,"unlcdc:SD",,,"SDEDB"
"unlcd:SDEGN","Geneina",,"unlcdf:4","unlcds:SDDW","unlcdc:SD","13.45","22.433332","SDEGN"
"unlcd:SDELF","El Fasher",,"unlcdf:4","unlcds:SDDN","unlcdc:SD","13.633333","25.35","SDELF"
"unlcd:SDGBU","Khashm El Girba",,"unlcdf:4","unlcds:SDGD","unlcdc:SD",,,"SDGBU"
"unlcd:SDGSU","Gedaref",,"unlcdf:4","unlcds:SDGD","unlcdc:SD",,,"SDGSU"
"unlcd:SDJUM","Juba",,"unlcdf:4","unlcds:SDDS","unlcdc:SD","12.15","24.45","SDJUM"
"unlcd:SDKDX","Kadugli",,"unlcdf:4","unlcds:SDKS","unlcdc:SD","11.0","29.716667","SDKDX"
"unlcd:SDKRT","Khartoum",,"unlcdf:4, unlcdf:5","unlcds:SDKH","unlcdc:SD",,,"SDKRT"
"unlcd:SDKSL","Kassala",,"unlcdf:4","unlcds:SDKA","unlcdc:SD",,,"SDKSL"
"unlcd:SDKST","Kosti",,"unlcdf:4","unlcds:SDNW","unlcdc:SD","13.166667","32.666668","SDKST"
"unlcd:SDMBH","Marsa Bashayer",,"unlcdf:1",,"unlcdc:SD","19.383333","37.3","SDMBH"
"unlcd:SDMWE","Merowe",,"unlcdf:4",,"unlcdc:SD",,,"SDMWE"
"unlcd:SDNHF","New Halfa",,"unlcdf:4","unlcds:SDKA","unlcdc:SD",,,"SDNHF"
"unlcd:SDNUD","En Nahud",,"unlcdf:4",,"unlcdc:SD",,,"SDNUD"
"unlcd:SDPZU","Port Sudan",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:SDRS","unlcdc:SD",,,"SDPZU"
"unlcd:SDRAB","Rabak",,"unlcdf:3, unlcdf:6",,"unlcdc:SD","13.15","32.733334","SDRAB"
"unlcd:SDRSS","Roseires",,"unlcdf:4",,"unlcdc:SD",,,"SDRSS"
"unlcd:SDSRA","Ar Rank",,"unlcdf:3",,"unlcdc:SD","11.75","32.8","SDSRA"
"unlcd:SDSSD","Sawakin",,"unlcdf:3",,"unlcdc:SD","19.1","37.316666","SDSSD"
"unlcd:SDSWA","Swakin",,"unlcdf:1",,"unlcdc:SD",,,"SDSWA"
"unlcd:SDUYL","Nyala",,"unlcdf:4","unlcds:SDDS","unlcdc:SD","12.05","24.883333","SDUYL"
"unlcd:SDWHF","Wadi Halfa",,"unlcdf:4","unlcds:SDNO","unlcdc:SD",,,"SDWHF"
"unlcd:SDYEI","Yei",,"unlcdf:3",,"unlcdc:SD","4.0833335","30.666666","SDYEI"
"unlcd:SDZLX","Zalingei",,"unlcdf:3, unlcdf:4","unlcds:SDDW","unlcdc:SD","12.9","23.483334","SDZLX"
