"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SE2SK","Sankt Olof",,"unlcdf:3","unlcds:SEM","unlcdc:SE","55.633335","14.133333","SE2SK"
"unlcd:SE6VG","Vedum",,"unlcdf:3","unlcds:SEO","unlcdc:SE","58.166668","12.983334","SE6VG"
"unlcd:SEAA8","Braas",,"unlcdf:3","unlcds:SEG","unlcdc:SE","57.066666","15.05","SEAA8"
"unlcd:SEAAK","Åkers Styckebruk","Akers Styckebruk","unlcdf:2, unlcdf:3","unlcds:SED","unlcdc:SE",,,"SEAAK"
"unlcd:SEAAR","Ar",,"unlcdf:1","unlcds:SEI","unlcdc:SE",,,"SEAAR"
"unlcd:SEAAS","Åseda","Aseda","unlcdf:3","unlcds:SEF","unlcdc:SE",,,"SEAAS"
"unlcd:SEAB5","Alta",,"unlcdf:3","unlcds:SEAB","unlcdc:SE","59.266666","18.183332","SEAB5"
"unlcd:SEABI","Åby","Aby","unlcdf:3","unlcds:SEE","unlcdc:SE","58.666668","16.183332","SEABI"
"unlcd:SEABN","Älvsbyn","Alvsbyn","unlcdf:3","unlcds:SEBD","unlcdc:SE","65.666664","21.0","SEABN"
"unlcd:SEABS","Abisko",,"unlcdf:2, unlcdf:3","unlcds:SEBD","unlcdc:SE","68.35","18.783333","SEABS"
"unlcd:SEABY","Aneby",,"unlcdf:3","unlcds:SEF","unlcdc:SE",,,"SEABY"
"unlcd:SEADA","Åseda","Aseda","unlcdf:3","unlcds:SEG","unlcdc:SE","57.166668","15.333333","SEADA"
"unlcd:SEADG","Arildsläge","Arildslage","unlcdf:1","unlcds:SEM","unlcdc:SE",,,"SEADG"
"unlcd:SEADK","Adak",,"unlcdf:6","unlcds:SEY","unlcdc:SE","65.35","18.616667","SEADK"
"unlcd:SEADO","Adelsö","Adelso","unlcdf:3",,"unlcdc:SE","59.366665","17.483334","SEADO"
"unlcd:SEAEL","Aelvsered",,"unlcdf:3","unlcds:SEN","unlcdc:SE","57.233334","12.85","SEAEL"
"unlcd:SEAEN","Älvdalen","Alvdalen","unlcdf:3","unlcds:SEW","unlcdc:SE",,,"SEAEN"
"unlcd:SEAGB","Agnesberg",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:SEO","unlcdc:SE","57.783333","11.983334","SEAGB"
"unlcd:SEAGD","Angered",,"unlcdf:2, unlcdf:3","unlcds:SEO","unlcdc:SE","57.783333","12.1","SEAGD"
"unlcd:SEAGE","Ånge","Ange","unlcdf:1, unlcdf:2, unlcdf:3","unlcds:SEY","unlcdc:SE","62.516666","15.616667","SEAGE"
"unlcd:SEAGH","Helsingborg-Ängelholm Apt","Helsingborg-Angelholm Apt","unlcdf:4","unlcds:SEM","unlcdc:SE",,,"SEAGH"
"unlcd:SEAGN","Älvängen","Alvangen","unlcdf:1, unlcdf:2, unlcdf:3","unlcds:SEO","unlcdc:SE","57.95","12.116667","SEAGN"
"unlcd:SEAGO","Agö","Ago","unlcdf:3",,"unlcdc:SE",,,"SEAGO"
"unlcd:SEAGU","Agunnaryd",,"unlcdf:3","unlcds:SEG","unlcdc:SE","56.75","14.15","SEAGU"
"unlcd:SEAHR","Aha",,"unlcdf:3","unlcds:SEAC","unlcdc:SE","65.46667","17.733334","SEAHR"
"unlcd:SEAHT","Älghult","Alghult","unlcdf:3","unlcds:SEG","unlcdc:SE",,,"SEAHT"
"unlcd:SEAHU","Åhus","Ahus","unlcdf:1, unlcdf:2, unlcdf:3","unlcds:SEM","unlcdc:SE","55.916668","14.283334","SEAHU"
"unlcd:SEAJG","Emmaljunga",,"unlcdf:3",,"unlcdc:SE",,,"SEAJG"
"unlcd:SEAJR","Arvidsjaur",,"unlcdf:3","unlcds:SEBD","unlcdc:SE",,,"SEAJR"
"unlcd:SEAKA","Åkersberga","Akersberga","unlcdf:3","unlcds:SEAB","unlcdc:SE",,,"SEAKA"
"unlcd:SEAKM","Askim",,"unlcdf:3","unlcds:SEO","unlcdc:SE","57.633335","11.933333","SEAKM"
"unlcd:SEAKP","Åkarp","Akarp","unlcdf:3, unlcdf:6","unlcds:SEM","unlcdc:SE","55.65","13.1","SEAKP"
