"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SI4SS","Sentjur",,"unlcdf:3","unlcds:SI120","unlcdc:SI","46.216667","15.383333","SI4SS"
"unlcd:SI8SI","Adlesici",,"unlcdf:3","unlcds:SI017","unlcdc:SI","45.533333","15.316667","SI8SI"
"unlcd:SI9SI","Artice",,"unlcdf:3","unlcds:SI009","unlcdc:SI","45.95","15.583333","SI9SI"
"unlcd:SIAEE","Kapele",,"unlcdf:3","unlcds:SI009","unlcdc:SI","45.933334","15.683333","SIAEE"
"unlcd:SIAJD","Ajdovscina",,"unlcdf:3",,"unlcdc:SI","45.883335","13.9","SIAJD"
"unlcd:SIAKN","Ankaran",,"unlcdf:3","unlcds:SI050","unlcdc:SI","45.566666","13.733334","SIAKN"
"unlcd:SIANH","Anhovo",,"unlcdf:3",,"unlcdc:SI",,,"SIANH"
"unlcd:SIAPA","Apace",,"unlcdf:3","unlcds:SI029","unlcdc:SI","46.7","15.916667","SIAPA"
"unlcd:SIAZX","Izlake",,"unlcdf:3","unlcds:SI142","unlcdc:SI","46.15","14.95","SIAZX"
"unlcd:SIBIS","Bistrica ob Dravi",,"unlcdf:6","unlcds:SI108","unlcdc:SI","46.55","15.55","SIBIS"
"unlcd:SIBJD","Blejska Dobrava",,"unlcdf:3",,"unlcdc:SI","46.4","14.1","SIBJD"
"unlcd:SIBLE","Bled",,"unlcdf:3",,"unlcdc:SI","46.366665","14.1","SIBLE"
"unlcd:SIBLO","Bloke",,"unlcdf:3","unlcds:SI150","unlcdc:SI","45.783333","14.483334","SIBLO"
"unlcd:SIBNG","Begunje na Gorenjskem",,"unlcdf:3",,"unlcdc:SI","46.366665","14.2","SIBNG"
"unlcd:SIBOV","Log pod Mangartom",,"unlcdf:3","unlcds:SI006","unlcdc:SI","46.4","13.583333","SIBOV"
"unlcd:SIBPK","Brdo pri Kranju",,"unlcdf:3",,"unlcdc:SI","46.266666","14.366667","SIBPK"
"unlcd:SIBR8","Brezovica",,"unlcdf:3","unlcds:SI008","unlcdc:SI","46.033333","14.4","SIBR8"
"unlcd:SIBR9","Catez Ob Savi",,"unlcdf:3","unlcds:SI009","unlcdc:SI","45.883335","15.6","SIBR9"
"unlcd:SIBRA","Braslovce",,"unlcdf:3","unlcds:SI190","unlcdc:SI","46.283333","15.033334","SIBRA"
"unlcd:SIBRD","Brda",,"unlcdf:3","unlcds:SI007","unlcdc:SI","45.983334","13.516666","SIBRD"
"unlcd:SIBRE","Velike Brusnice",,"unlcdf:3","unlcds:SI148","unlcdc:SI","45.816666","15.25","SIBRE"
"unlcd:SIBRN","Brnik",,"unlcdf:3","unlcds:SI012","unlcdc:SI","46.216667","14.483334","SIBRN"
"unlcd:SIBS3","Bohinjska Bela",,"unlcdf:3","unlcds:SI003","unlcdc:SI","46.333332","14.05","SIBS3"
"unlcd:SIBS4","Bohinjska Bistrica",,"unlcdf:3","unlcds:SI004","unlcdc:SI","46.266666","13.95","SIBS4"
"unlcd:SIBSI","Bizeljsko",,"unlcdf:3","unlcds:SI009","unlcdc:SI","46.0","15.683333","SIBSI"
"unlcd:SIBTN","Beltinci",,"unlcdf:3","unlcds:SI002","unlcdc:SI","46.6","16.233334","SIBTN"
"unlcd:SIBVC","Bovec",,"unlcdf:3",,"unlcdc:SI",,,"SIBVC"
"unlcd:SIBZ9","Krska Vas",,"unlcdf:3","unlcds:SI009","unlcdc:SI","45.9","15.566667","SIBZ9"
"unlcd:SIBZC","Brezice",,"unlcdf:3, unlcdf:6","unlcds:SI009","unlcdc:SI","45.9","15.583333","SIBZC"
"unlcd:SIC52","Cankova",,"unlcdf:3","unlcds:SI152","unlcdc:SI","46.716667","16.016666","SIC52"
"unlcd:SICER","Cerkno",,"unlcdf:3","unlcds:SI014","unlcdc:SI","46.116665","13.983334","SICER"
"unlcd:SICIK","Cirkulane",,"unlcdf:3","unlcds:SI196","unlcdc:SI","46.333332","15.983334","SICIK"
"unlcd:SICJE","Celje",,"unlcdf:2, unlcdf:3",,"unlcdc:SI","46.25","15.266666","SICJE"
"unlcd:SICKC","Cerknica",,"unlcdf:3","unlcds:SI013","unlcdc:SI","45.8","14.366667","SICKC"
"unlcd:SICNG","Cerklje na Gorenjskem",,"unlcdf:3","unlcds:SI012","unlcdc:SI","46.25","14.483334","SICNG"
"unlcd:SICOJ","Gorje",,"unlcdf:3","unlcds:SI207","unlcdc:SI","46.383335","13.966666","SICOJ"
"unlcd:SICR3","Grahovo",,"unlcdf:3","unlcds:SI013","unlcdc:SI","45.766666","14.416667","SICR3"
"unlcd:SICR5","Crensovci",,"unlcdf:3","unlcds:SI015","unlcdc:SI","46.566666","16.283333","SICR5"
"unlcd:SICR7","Dragatus",,"unlcdf:3","unlcds:SI017","unlcdc:SI","45.516666","15.166667","SICR7"
"unlcd:SICRE","Crnice",,"unlcdf:3",,"unlcdc:SI","45.916668","13.783334","SICRE"
"unlcd:SICRK","Crni Kal",,"unlcdf:3","unlcds:SI050","unlcdc:SI","45.55","13.866667","SICRK"
"unlcd:SICSK","Cersak",,"unlcdf:6","unlcds:SI118","unlcdc:SI","46.683334","15.666667","SICSK"
"unlcd:SID22","Dol Pri Ljubljani",,"unlcdf:3","unlcds:SI022","unlcdc:SI","46.083332","14.6","SID22"
"unlcd:SID23","Dob",,"unlcdf:3","unlcds:SI023","unlcdc:SI","46.15","14.616667","SID23"
"unlcd:SID24","Dornava",,"unlcdf:3","unlcds:SI024","unlcdc:SI","46.433334","15.95","SID24"
"unlcd:SID25","Dravograd",,"unlcdf:3","unlcds:SI025","unlcdc:SI","46.583332","15.016666","SID25"
"unlcd:SIDAV","Lendava",,"unlcdf:2, unlcdf:3","unlcds:SI059","unlcdc:SI","46.566666","16.45","SIDAV"
"unlcd:SIDBJ","Dobrepolje",,"unlcdf:3","unlcds:SI020","unlcdc:SI","45.85","14.7","SIDBJ"
"unlcd:SIDBO","Dobrovo",,"unlcdf:1, unlcdf:6","unlcds:SI007","unlcdc:SI","45.983334","133.25","SIDBO"
"unlcd:SIDBP","Dobrova-Polhov Gradec",,"unlcdf:3","unlcds:SI021","unlcdc:SI","46.05","14.3","SIDBP"
"unlcd:SIDBR","Dobrna",,"unlcdf:3","unlcds:SI155","unlcdc:SI","46.333332","15.216666","SIDBR"
"unlcd:SIDE8","Destrnik",,"unlcdf:3","unlcds:SI018","unlcdc:SI","46.5","15.866667","SIDE8"
"unlcd:SIDES","Deskle",,"unlcdf:3","unlcds:SI044","unlcdc:SI","46.05","13.616667","SIDES"
"unlcd:SIDHP","Horjul",,"unlcdf:3","unlcds:SI021","unlcdc:SI","46.016666","14.283334","SIDHP"
"unlcd:SIDOB","Dobova",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:SI009","unlcdc:SI","45.883335","15.666667","SIDOB"
"unlcd:SIDOJ","Dobje (Obcina)",,"unlcdf:3","unlcds:SI154","unlcdc:SI","46.133335","15.383333","SIDOJ"
"unlcd:SIDOL","Dolnja Kosana",,"unlcdf:6",,"unlcdc:SI","45.65","14.116667","SIDOL"
"unlcd:SIDOV","Dolenja Vas",,"unlcdf:3","unlcds:SI104","unlcdc:SI","45.7","14.75","SIDOV"
"unlcd:SIDR5","Libelice",,"unlcdf:3","unlcds:SI025","unlcdc:SI","46.616665","14.933333","SIDR5"
"unlcd:SIDUP","Spodnji Duplek",,"unlcdf:3","unlcds:SI026","unlcdc:SI","46.5","15.733334","SIDUP"
