"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SK2BA","Spisska Bela",,"unlcdf:3","unlcds:SKPV","unlcdc:SK","49.183334","20.466667","SK2BA"
"unlcd:SK4PB","Prochot",,"unlcdf:3","unlcds:SKBC","unlcdc:SK","48.6","18.716667","SK4PB"
"unlcd:SK6SK","Bidovce",,"unlcdf:3","unlcds:SKKI","unlcdc:SK","48.733334","21.433332","SK6SK"
"unlcd:SK8EB","Hontianske Tesáre","Hontianske Tesare","unlcdf:3","unlcds:SKBC","unlcdc:SK","48.2","18.916666","SK8EB"
"unlcd:SK8KS","Brzotín","Brzotin","unlcdf:3","unlcds:SKKI","unlcdc:SK","48.633335","20.5","SK8KS"
"unlcd:SK8TK","Haniska",,"unlcdf:3","unlcds:SKKI","unlcdc:SK","48.616665","21.25","SK8TK"
"unlcd:SKAL8","Aleksince",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.366665","17.95","SKAL8"
"unlcd:SKBAA","Devinska Nova Ves/Bratislava",,"unlcdf:2","unlcds:SKBL","unlcdc:SK",,,"SKBAA"
"unlcd:SKBAB","Bratislava Port",,"unlcdf:1","unlcds:SKBL","unlcdc:SK",,,"SKBAB"
"unlcd:SKBAJ","Bajc",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","47.916668","18.216667","SKBAJ"
"unlcd:SKBAK","Baka",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","47.9","17.533333","SKBAK"
"unlcd:SKBBY","Banská Bystrica","Banska Bystrica","unlcdf:3, unlcdf:4","unlcds:SKBC","unlcdc:SK","48.733334","19.15","SKBBY"
"unlcd:SKBCA","Bytca",,"unlcdf:3",,"unlcdc:SK","49.216667","18.566668","SKBCA"
"unlcd:SKBCC","Bacuch",,"unlcdf:3","unlcds:SKBC","unlcdc:SK","48.866665","19.816668","SKBCC"
"unlcd:SKBCK","Beckov",,"unlcdf:1","unlcds:SKTA","unlcdc:SK",,,"SKBCK"
"unlcd:SKBDM","Budmerice",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.366665","17.416666","SKBDM"
"unlcd:SKBDV","Bardejov",,"unlcdf:2, unlcdf:3",,"unlcdc:SK","49.283333","21.266666","SKBDV"
"unlcd:SKBEC","Becherov",,"unlcdf:3, unlcdf:B","unlcds:SKPV","unlcdc:SK",,,"SKBEC"
"unlcd:SKBEL","Belusa",,"unlcdf:3",,"unlcdc:SK","49.066666","18.316668","SKBEL"
"unlcd:SKBES","Besenova",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.05","18.266666","SKBES"
"unlcd:SKBEZ","Bezovce",,"unlcdf:3","unlcds:SKKI","unlcdc:SK","48.633335","22.15","SKBEZ"
"unlcd:SKBJC","Bojnicky",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.383335","17.8","SKBJC"
"unlcd:SKBLA","Bela",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","47.833332","18.6","SKBLA"
"unlcd:SKBLD","Beladice",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.35","18.3","SKBLD"
"unlcd:SKBLO","Bernolákovo","Bernolakovo","unlcdf:3","unlcds:SKBL","unlcdc:SK","48.2","17.3","SKBLO"
"unlcd:SKBNB","Bánovce nad Bebravou","Banovce nad Bebravou","unlcdf:2, unlcdf:3, unlcdf:6",,"unlcdc:SK","48.716667","18.25","SKBNB"
"unlcd:SKBNC","Bela Nad Cirochou",,"unlcdf:3","unlcds:SKPV","unlcdc:SK","48.966667","22.1","SKBNC"
"unlcd:SKBNI","Balog nad Iplom",,"unlcdf:3","unlcds:SKBC","unlcdc:SK","48.066666","19.116667","SKBNI"
"unlcd:SKBNT","Bohdanovce nad Trnavou",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.433334","17.55","SKBNT"
"unlcd:SKBOJ","Bojnice",,"unlcdf:3",,"unlcdc:SK","48.783333","18.566668","SKBOJ"
"unlcd:SKBOS","Bosany",,"unlcdf:2, unlcdf:3",,"unlcdc:SK","48.583332","18.283333","SKBOS"
"unlcd:SKBPB","Brezova pod Bradlom",,"unlcdf:6",,"unlcdc:SK","48.666668","17.533333","SKBPB"
"unlcd:SKBRO","Brodské","Brodske","unlcdf:3, unlcdf:B","unlcds:SKTA","unlcdc:SK",,,"SKBRO"
"unlcd:SKBRP","Petrzalka/Bratislava",,"unlcdf:3, unlcdf:B","unlcds:SKBL","unlcdc:SK",,,"SKBRP"
"unlcd:SKBSC","Bosáca","Bosaca","unlcdf:3, unlcdf:6",,"unlcdc:SK","48.833332","17.833334","SKBSC"
"unlcd:SKBTS","Bratislava",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:SKBL","unlcdc:SK","48.15","17.116667","SKBTS"
"unlcd:SKBTV","Bitarova",,"unlcdf:3","unlcds:SKZI","unlcdc:SK","49.216667","18.666666","SKBTV"
"unlcd:SKBTY","Brestovany",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.383335","17.683332","SKBTY"
"unlcd:SKBTZ","Batizovce",,"unlcdf:3","unlcds:SKPV","unlcdc:SK","49.083332","20.2","SKBTZ"
"unlcd:SKBVO","Branovo",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.033333","18.3","SKBVO"
"unlcd:SKBYS","Bystré","Bystre","unlcdf:3","unlcds:SKPV","unlcdc:SK","49.016666","21.55","SKBYS"
"unlcd:SKBZO","Brezno",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:SKBC","unlcdc:SK","48.816666","19.65","SKBZO"
"unlcd:SKCAB","Cab",,"unlcdf:3, unlcdf:6","unlcds:SKNI","unlcdc:SK","48.4","17.983334","SKCAB"
"unlcd:SKCAD","Cadca",,"unlcdf:2, unlcdf:B","unlcds:SKZI","unlcdc:SK",,,"SKCAD"
"unlcd:SKCAJ","Cajkov",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.283333","18.6","SKCAJ"
"unlcd:SKCAN","Cana",,"unlcdf:2","unlcds:SKKI","unlcdc:SK",,,"SKCAN"
"unlcd:SKCAS","Castá","Casta","unlcdf:3","unlcds:SKBL","unlcdc:SK","48.4","17.366667","SKCAS"
"unlcd:SKCEC","Cecejovce",,"unlcdf:3","unlcds:SKKI","unlcdc:SK","48.6","21.066668","SKCEC"
"unlcd:SKCEK","Cerveny Kamen",,"unlcdf:3, unlcdf:B","unlcds:SKTC","unlcdc:SK","49.083332","18.183332","SKCEK"
"unlcd:SKCEL","Celadice",,"unlcdf:3","unlcds:SKNI","unlcdc:SK","48.333332","18.25","SKCEL"
"unlcd:SKCEN","Cenkovce",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.1","17.433332","SKCEN"
"unlcd:SKCER","Certizné","Certizne","unlcdf:3","unlcds:SKPV","unlcdc:SK","49.35","21.833334","SKCER"
"unlcd:SKCFR","Cífer","Cifer","unlcdf:3","unlcds:SKTA","unlcdc:SK","48.316666","17.5","SKCFR"
"unlcd:SKCHO","Chotín","Chotin","unlcdf:3","unlcds:SKNI","unlcdc:SK","47.8","18.233334","SKCHO"
"unlcd:SKCIE","Cierny",,"unlcdf:6","unlcds:SKTA","unlcdc:SK","47.883335","17.633333","SKCIE"
"unlcd:SKCKC","Castkovce",,"unlcdf:3","unlcds:SKTC","unlcdc:SK","48.683334","17.783333","SKCKC"
"unlcd:SKCNB","Cierny Brod",,"unlcdf:3","unlcds:SKTA","unlcdc:SK","48.15","17.666666","SKCNB"
"unlcd:SKCNT","Cierna nad Tisou",,"unlcdf:2, unlcdf:B","unlcds:SKKI","unlcdc:SK",,,"SKCNT"
"unlcd:SKCOB","Cinobana",,"unlcdf:3","unlcds:SKBC","unlcdc:SK","48.45","19.65","SKCOB"
"unlcd:SKCRV","Cerovo",,"unlcdf:3","unlcds:SKBC","unlcdc:SK","48.25","19.166666","SKCRV"
"unlcd:SKCTE","Cachtice",,"unlcdf:3",,"unlcdc:SK","48.7","17.783333","SKCTE"
"unlcd:SKCVG","Chorvátsky Grob","Chorvatsky Grob","unlcdf:6","unlcds:SKBL","unlcdc:SK","48.216667","17.283333","SKCVG"
"unlcd:SKCYY","Chynorany",,"unlcdf:3","unlcds:SKTC","unlcdc:SK","48.616665","18.283333","SKCYY"
"unlcd:SKDBR","Dobrá","Dobra","unlcdf:2, unlcdf:3",,"unlcdc:SK","48.416668","22.016666","SKDBR"
"unlcd:SKDF4","Spisský Stiavnik","Spissky Stiavnik","unlcdf:1, unlcdf:3","unlcds:SKPV","unlcdc:SK","49.0","20.366667","SKDF4"
"unlcd:SKDJA","Dunajská Streda","Dunajska Streda","unlcdf:3",,"unlcdc:SK",,,"SKDJA"
"unlcd:SKDJZ","Dunajska Luzna",,"unlcdf:3","unlcds:SKBL","unlcdc:SK","48.083332","-17.266666","SKDJZ"
"unlcd:SKDLV","Dolný Lieskov","Dolny Lieskov","unlcdf:3","unlcds:SKTC","unlcdc:SK","49.05","18.416666","SKDLV"
"unlcd:SKDNS","Dolna Streda",,"unlcdf:6","unlcds:SKTA","unlcdc:SK","48.266666","17.75","SKDNS"
"unlcd:SKDNV","Dubnica nad Váhom","Dubnica nad Vahom","unlcdf:2, unlcdf:3",,"unlcdc:SK","48.966667","18.183332","SKDNV"
"unlcd:SKDOJ","Dojc",,"unlcdf:3, unlcdf:6","unlcds:SKTA","unlcdc:SK","48.666668","17.266666","SKDOJ"
"unlcd:SKDOK","Dolny Kubín","Dolny Kubin","unlcdf:2, unlcdf:3","unlcds:SKZI","unlcdc:SK","49.2","19.3","SKDOK"
