"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SLBTE","Bonthe",,"unlcdf:1, unlcdf:4",,"unlcdc:SL",,,"SLBTE"
"unlcd:SLDSL","Daru",,"unlcdf:4",,"unlcdc:SL",,,"SLDSL"
"unlcd:SLFNA","Freetown",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SL",,,"SLFNA"
"unlcd:SLGBK","Gbangbatok",,"unlcdf:4",,"unlcdc:SL",,,"SLGBK"
"unlcd:SLHGS","Hastings Apt/Freetown",,"unlcdf:3, unlcdf:4","unlcds:SLW","unlcdc:SL","8.366667","-13.133333","SLHGS"
"unlcd:SLKBA","Kabala",,"unlcdf:4",,"unlcdc:SL",,,"SLKBA"
"unlcd:SLKBS","Bo",,"unlcdf:4",,"unlcdc:SL",,,"SLKBS"
"unlcd:SLKEN","Kenema",,"unlcdf:4",,"unlcdc:SL",,,"SLKEN"
"unlcd:SLKSY","Kissy",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:SLW","unlcdc:SL","8.466666","-13.183333","SLKSY"
"unlcd:SLMUT","Muta",,"unlcdf:3",,"unlcdc:SL",,,"SLMUT"
"unlcd:SLNIT","Nitti",,"unlcdf:1",,"unlcdc:SL",,,"SLNIT"
"unlcd:SLPEP","Pepel",,"unlcdf:1",,"unlcdc:SL",,,"SLPEP"
"unlcd:SLSBO","Sherbro",,"unlcdf:1",,"unlcdc:SL",,,"SLSBO"
"unlcd:SLSRK","Sierra Leone Apt",,"unlcdf:4",,"unlcdc:SL",,,"SLSRK"
"unlcd:SLWYE","Yengema Apt",,"unlcdf:3, unlcdf:4","unlcds:SLE","unlcdc:SL","8.616667","-11.05","SLWYE"
