"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SMAQ8","Gualdicciolo",,"unlcdf:1, unlcdf:3","unlcds:SM01","unlcdc:SM","43.95","12.4","SMAQ8"
"unlcd:SMBMG","Borgo Maggiore",,"unlcdf:3",,"unlcdc:SM","43.933334","12.433333","SMBMG"
"unlcd:SMCHV","Chiesanuova",,"unlcdf:3","unlcds:SM02","unlcdc:SM","43.9","12.416667","SMCHV"
"unlcd:SMDGN","Dogana",,"unlcdf:3","unlcds:SM09","unlcdc:SM","43.966667","12.483334","SMDGN"
"unlcd:SMDSS","Domagnano",,"unlcdf:3",,"unlcdc:SM","43.95","12.466666","SMDSS"
"unlcd:SMFAE","Faetano",,"unlcdf:3","unlcds:SM07","unlcdc:SM","43.916668","12.483334","SMFAE"
"unlcd:SMFCO","Falciano",,"unlcdf:3","unlcds:SM07","unlcdc:SM","43.983334","12.5","SMFCO"
"unlcd:SMGAL","Galazzano",,"unlcdf:3","unlcds:SM09","unlcdc:SM",,,"SMGAL"
"unlcd:SMRVT","Rovereta",,"unlcdf:3","unlcds:SM09","unlcdc:SM","43.983334","12.5","SMRVT"
"unlcd:SMSAI","San Marino",,"unlcdf:4",,"unlcdc:SM",,,"SMSAI"
"unlcd:SMSRV","Serravalle",,"unlcdf:3","unlcds:SM07","unlcdc:SM","43.95","12.5","SMSRV"
"unlcd:SMZAC","Acquaviva",,"unlcdf:3, unlcdf:6","unlcds:SM01","unlcdc:SM","43.95","12.416667","SMZAC"
