"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SNBXE","Bakel",,"unlcdf:4",,"unlcdc:SN",,,"SNBXE"
"unlcd:SNCSK","Cap Skiring",,"unlcdf:4","unlcds:SNZG","unlcdc:SN","12.383333","-16.75","SNCSK"
"unlcd:SNDAG","Dagana",,"unlcdf:3",,"unlcdc:SN","16.5","-15.5","SNDAG"
"unlcd:SNDKR","Dakar",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SN",,,"SNDKR"
"unlcd:SNDSS","Blaise Diagne International Airport",,"unlcdf:3, unlcdf:4","unlcds:SNTH","unlcdc:SN","14.633333","-17.083334","SNDSS"
"unlcd:SNDUR","Diourbel",,"unlcdf:3","unlcds:SNDB ","unlcdc:SN","14.65","-16.383333","SNDUR"
"unlcd:SNFOU","Foundiougne",,"unlcdf:1",,"unlcdc:SN",,,"SNFOU"
"unlcd:SNKAH","Kahone",,"unlcdf:3","unlcds:SNFK","unlcdc:SN","14.15","-16.033333","SNKAH"
"unlcd:SNKDA","Kolda",,"unlcdf:4",,"unlcdc:SN",,,"SNKDA"
"unlcd:SNKGG","Kedougou",,"unlcdf:4",,"unlcdc:SN",,,"SNKGG"
"unlcd:SNKID","Kidira",,"unlcdf:3","unlcds:SNTC","unlcdc:SN","14.4","-12.25","SNKID"
"unlcd:SNKKY","Kayar",,"unlcdf:3","unlcds:SNTH","unlcdc:SN","14.916667","-17.116667","SNKKY"
"unlcd:SNKLC","Kaolack",,"unlcdf:1, unlcdf:4",,"unlcdc:SN",,,"SNKLC"
"unlcd:SNLOU","Louga",,"unlcdf:3",,"unlcdc:SN","15.6","-16.233334","SNLOU"
"unlcd:SNLYN","Lyndiane",,"unlcdf:1",,"unlcdc:SN",,,"SNLYN"
"unlcd:SNMAX","Matam",,"unlcdf:4",,"unlcdc:SN",,,"SNMAX"
"unlcd:SNMBA","M'bao Terminal",,"unlcdf:1",,"unlcdc:SN",,,"SNMBA"
"unlcd:SNMBO","Mbour",,"unlcdf:3",,"unlcdc:SN","14.416667","-16.95","SNMBO"
"unlcd:SNMGS","Madina Gounass",,"unlcdf:3","unlcds:SNKD","unlcdc:SN","13.133333","-13.75","SNMGS"
"unlcd:SNNIK","Niokolo Koba",,"unlcdf:4",,"unlcdc:SN",,,"SNNIK"
"unlcd:SNPOD","Podor",,"unlcdf:4",,"unlcdc:SN",,,"SNPOD"
"unlcd:SNRDT","Richard Toll",,"unlcdf:4",,"unlcdc:SN",,,"SNRDT"
"unlcd:SNRQ2","Rufisque",,"unlcdf:3","unlcds:SNDK","unlcdc:SN","14.7","-17.266666","SNRQ2"
"unlcd:SNSKN","Sokone",,"unlcdf:3","unlcds:SNFK","unlcdc:SN","13.883333","-16.366667","SNSKN"
"unlcd:SNSMY","Simenti",,"unlcdf:4",,"unlcdc:SN",,,"SNSMY"
"unlcd:SNTBN","Taïba Ndiaye","Taiba Ndiaye","unlcdf:3","unlcds:SNTH","unlcdc:SN","15.05","-16.883333","SNTBN"
"unlcd:SNTHI","Thiès","Thies","unlcdf:2, unlcdf:3",,"unlcdc:SN","14.8","-16.933332","SNTHI"
"unlcd:SNTOU","Touba",,"unlcdf:3","unlcds:SNDB ","unlcdc:SN","14.85","-15.883333","SNTOU"
"unlcd:SNTUD","Tambacounda",,"unlcdf:4",,"unlcdc:SN",,,"SNTUD"
"unlcd:SNXLS","Saint Louis",,"unlcdf:1, unlcdf:4","unlcds:SNSL","unlcdc:SN","16.033333","-16.5","SNXLS"
"unlcd:SNYDK","Yof",,"unlcdf:3","unlcds:SNDK","unlcdc:SN","14.75","-17.466667","SNYDK"
"unlcd:SNZIG","Ziguinchor",,"unlcdf:1, unlcdf:4",,"unlcdc:SN",,,"SNZIG"
