"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SOALU","Alula",,"unlcdf:4",,"unlcdc:SO",,,"SOALU"
"unlcd:SOBBO","Berbera",,"unlcdf:1, unlcdf:4",,"unlcdc:SO",,,"SOBBO"
"unlcd:SOBIB","Baidoa",,"unlcdf:4",,"unlcdc:SO",,,"SOBIB"
"unlcd:SOBSA","Bossaso",,"unlcdf:4",,"unlcdc:SO",,,"SOBSA"
"unlcd:SOBSY","Bardera",,"unlcdf:4",,"unlcdc:SO",,,"SOBSY"
"unlcd:SOBUO","Burao",,"unlcdf:4",,"unlcdc:SO",,,"SOBUO"
"unlcd:SOBXX","Borama",,"unlcdf:4",,"unlcdc:SO",,,"SOBXX"
"unlcd:SOCMO","Obbia",,"unlcdf:4",,"unlcdc:SO",,,"SOCMO"
"unlcd:SOCMS","Scusciuban",,"unlcdf:4",,"unlcdc:SO",,,"SOCMS"
"unlcd:SOCXN","Candala",,"unlcdf:4",,"unlcdc:SO",,,"SOCXN"
"unlcd:SODAN","Dante (Ras Hafun)",,"unlcdf:0",,"unlcdc:SO",,,"SODAN"
"unlcd:SODH9","Dhoobleey",,"unlcdf:3","unlcds:SOJH","unlcdc:SO","2.5","42.316666","SODH9"
"unlcd:SODOW","Doolow",,"unlcdf:3","unlcds:SOGE ","unlcdc:SO","4.1666665","42.083332","SODOW"
"unlcd:SOELM","El Maan",,"unlcdf:1, unlcdf:3",,"unlcdc:SO","2.1666667","45.6","SOELM"
"unlcd:SOERA","Erigavo",,"unlcdf:4",,"unlcdc:SO",,,"SOERA"
"unlcd:SOGAA","Gaalkacyo",,"unlcdf:3","unlcds:SOMU","unlcdc:SO","6.7833333","47.433334","SOGAA"
"unlcd:SOGBM","Garbaharey",,"unlcdf:4",,"unlcdc:SO",,,"SOGBM"
"unlcd:SOGGR","Garoe",,"unlcdf:4",,"unlcdc:SO",,,"SOGGR"
"unlcd:SOGHR","Giohar",,"unlcdf:1, unlcdf:3",,"unlcdc:SO","2.7666667","45.516666","SOGHR"
"unlcd:SOGLK","Galcaio",,"unlcdf:4",,"unlcdc:SO",,,"SOGLK"
"unlcd:SOGSR","Gardo",,"unlcdf:4",,"unlcdc:SO",,,"SOGSR"
"unlcd:SOHCM","Eil",,"unlcdf:4",,"unlcdc:SO",,,"SOHCM"
"unlcd:SOHGA","Hargeisa",,"unlcdf:4",,"unlcdc:SO",,,"SOHGA"
"unlcd:SOKMU","Kismayu",,"unlcdf:1, unlcdf:4",,"unlcdc:SO",,,"SOKMU"
"unlcd:SOLGX","Lugh Ganane",,"unlcdf:4",,"unlcdc:SO",,,"SOLGX"
"unlcd:SOLKR","Las Khoreh",,"unlcdf:4",,"unlcdc:SO",,,"SOLKR"
"unlcd:SOMER","Merca",,"unlcdf:1",,"unlcdc:SO",,,"SOMER"
"unlcd:SOMGQ","Mogadishu",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SO",,,"SOMGQ"
