"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SRAAJ","Awaradam",,"unlcdf:4",,"unlcdc:SR",,,"SRAAJ"
"unlcd:SRABN","Albina",,"unlcdf:1, unlcdf:4",,"unlcdc:SR",,,"SRABN"
"unlcd:SRAGI","Wageningen",,"unlcdf:1, unlcdf:4",,"unlcdc:SR",,,"SRAGI"
"unlcd:SRBKP","Brokopondo",,"unlcdf:3","unlcds:SRBR","unlcdc:SR","5.0666666","-54.966667","SRBKP"
"unlcd:SRBTO","Botopasie",,"unlcdf:4",,"unlcdc:SR",,,"SRBTO"
"unlcd:SRDOE","Djoemoe",,"unlcdf:4",,"unlcdc:SR",,,"SRDOE"
"unlcd:SRDRJ","Drietabbetje",,"unlcdf:4",,"unlcdc:SR",,,"SRDRJ"
"unlcd:SRHTT","Houttuin",,"unlcdf:3","unlcds:SRWA","unlcdc:SR","5.7333336","-55.166668","SRHTT"
"unlcd:SRICK","Nieuw Nickerie",,"unlcdf:1, unlcdf:4",,"unlcdc:SR",,,"SRICK"
"unlcd:SRJKB","Jarikaba",,"unlcdf:3","unlcds:SRSA","unlcdc:SR","5.7833333","-55.433334","SRJKB"
"unlcd:SRKAT","Kwatta",,"unlcdf:6",,"unlcdc:SR","5.8166666","-55.25","SRKAT"
"unlcd:SRKCB","Kasikasima",,"unlcdf:4",,"unlcdc:SR",,,"SRKCB"
"unlcd:SRLDO","Ladouanie",,"unlcdf:4",,"unlcdc:SR",,,"SRLDO"
"unlcd:SRLLW","Lelydorp",,"unlcdf:1, unlcdf:2, unlcdf:6","unlcds:SRWA","unlcdc:SR","5.7","-55.233334","SRLLW"
"unlcd:SRMOJ","Moengo",,"unlcdf:1, unlcdf:4",,"unlcdc:SR",,,"SRMOJ"
"unlcd:SRMZG","Meerzorg",,"unlcdf:3","unlcds:SRCM","unlcdc:SR","5.8166666","-55.15","SRMZG"
"unlcd:SRNAM","Nieuw Amsterdam",,"unlcdf:3","unlcds:SRCM","unlcdc:SR","5.883333","-55.083332","SRNAM"
"unlcd:SROEM","Paloemeu",,"unlcdf:4",,"unlcdc:SR",,,"SROEM"
"unlcd:SRORG","Paramaribo Zorg en Hoop Airport",,"unlcdf:4","unlcds:SRPR","unlcdc:SR","5.8","-55.183334","SRORG"
"unlcd:SRPBM","Paramaribo",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SR",,,"SRPBM"
"unlcd:SRPRM","Paranam",,"unlcdf:1",,"unlcdc:SR",,,"SRPRM"
"unlcd:SRSMA","Smalkalden",,"unlcdf:1",,"unlcdc:SR",,,"SRSMA"
"unlcd:SRSMZ","Stoelmans Eiland",,"unlcdf:4",,"unlcdc:SR",,,"SRSMZ"
"unlcd:SRSPO","Saramacca Polder",,"unlcdf:3","unlcds:SRWA","unlcdc:SR","5.8166666","-55.25","SRSPO"
"unlcd:SRTOT","Totness",,"unlcdf:4",,"unlcdc:SR",,,"SRTOT"
"unlcd:SRWSO","Washabo",,"unlcdf:4",,"unlcdc:SR",,,"SRWSO"
"unlcd:SRZDJ","Zanderij",,"unlcdf:3",,"unlcdc:SR","5.45","-55.183334","SRZDJ"
