"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SSAWE","Aweil",,"unlcdf:3","unlcds:SSBN","unlcdc:SS","8.766666","27.383333","SSAWE"
"unlcd:SSBEN","Bentiu Town",,"unlcdf:3","unlcds:SSUY","unlcdc:SS","9.266666","29.783333","SSBEN"
"unlcd:SSBOM","Boma",,"unlcdf:3","unlcds:SSJG","unlcdc:SS","6.1666665","34.466667","SSBOM"
"unlcd:SSBOR","Bor",,"unlcdf:3","unlcds:SSJG","unlcdc:SS","7.6666665","33.633335","SSBOR"
"unlcd:SSJUB","Juba",,"unlcdf:3, unlcdf:4","unlcds:SSEC","unlcdc:SS","4.85","31.616667","SSJUB"
"unlcd:SSKAJ","Kajo Keji",,"unlcdf:3","unlcds:SSEC","unlcdc:SS","3.8333333","31.65","SSKAJ"
"unlcd:SSKYA","Kaya",,"unlcdf:3","unlcds:SSEC","unlcdc:SS","3.55","30.866667","SSKYA"
"unlcd:SSMAK","Malakal",,"unlcdf:3, unlcdf:4","unlcds:SSNU","unlcdc:SS","9.533334","31.65","SSMAK"
"unlcd:SSNIM","Nimule",,"unlcdf:3","unlcds:SSEE","unlcdc:SS","3.6","32.05","SSNIM"
"unlcd:SSRAG","Raga",,"unlcdf:3","unlcds:SSBW","unlcdc:SS","8.45","25.666666","SSRAG"
"unlcd:SSRBK","Rumbek",,"unlcdf:3","unlcds:SSLK","unlcdc:SS","6.8","29.7","SSRBK"
"unlcd:SSRUM","Rumbek",,"unlcdf:3","unlcds:SSLK","unlcdc:SS","6.8","29.683332","SSRUM"
"unlcd:SSTON","Tonj",,"unlcdf:3","unlcds:SSWR","unlcdc:SS","7.266667","28.75","SSTON"
"unlcd:SSTOR","Torit",,"unlcdf:3","unlcds:SSEE","unlcdc:SS","4.4","32.566666","SSTOR"
"unlcd:SSWAP","Warrap",,"unlcdf:3","unlcds:SSWR","unlcdc:SS","8.0","28.85","SSWAP"
"unlcd:SSWUU","Wau",,"unlcdf:3, unlcdf:4","unlcds:SSBW","unlcdc:SS","7.7","28.0","SSWUU"
"unlcd:SSYAM","Yambio",,"unlcdf:3","unlcds:SSEW","unlcdc:SS","4.5666666","28.383333","SSYAM"
"unlcd:SSYID","Yida",,"unlcdf:3, unlcdf:4","unlcds:SSUY","unlcdc:SS","10.1","30.083334","SSYID"
