"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:STANG","Angolares",,"unlcdf:5",,"unlcdc:ST",,,"STANG"
"unlcd:STGUA","Guadalupe",,"unlcdf:5",,"unlcdc:ST",,,"STGUA"
"unlcd:STMAD","Madalena",,"unlcdf:5",,"unlcdc:ST",,,"STMAD"
"unlcd:STNEV","Neves",,"unlcdf:5",,"unlcdc:ST",,,"STNEV"
"unlcd:STPCP","Principe",,"unlcdf:1, unlcdf:4",,"unlcdc:ST",,,"STPCP"
"unlcd:STPGP","Porto Alegre",,"unlcdf:4",,"unlcdc:ST",,,"STPGP"
"unlcd:STRIA","Ribeira Afonso",,"unlcdf:5",,"unlcdc:ST",,,"STRIA"
"unlcd:STSAA","Santo Antonio",,"unlcdf:1",,"unlcdc:ST",,,"STSAA"
"unlcd:STSAM","Santo Amaro",,"unlcdf:5",,"unlcdc:ST",,,"STSAM"
"unlcd:STSOK","Stormskaer",,"unlcdf:0",,"unlcdc:ST",,,"STSOK"
"unlcd:STSTA","Santana",,"unlcdf:5",,"unlcdc:ST",,,"STSTA"
"unlcd:STTMS","Sao Tome Island",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:ST",,,"STTMS"
"unlcd:STTRI","Trindade",,"unlcdf:5",,"unlcdc:ST",,,"STTRI"
