"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SYALD","Al Ladhiqiyah",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:SY","35.516666","35.783333","SYALD"
"unlcd:SYALP","Aleppo (Alep)",,"unlcdf:4, unlcdf:5",,"unlcdc:SY",,,"SYALP"
"unlcd:SYARW","Arwad",,"unlcdf:1, unlcdf:3","unlcds:SYTA","unlcdc:SY","34.85","35.85","SYARW"
"unlcd:SYBAN","Baniyas",,"unlcdf:1, unlcdf:3","unlcds:SYTA","unlcdc:SY","35.183334","35.95","SYBAN"
"unlcd:SYBEN","Banghazi",,"unlcdf:1, unlcdf:3",,"unlcdc:SY","32.116665","20.066668","SYBEN"
"unlcd:SYDAM","Damascus (Damas)",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:SY",,,"SYDAM"
"unlcd:SYDEZ","Deirezzor",,"unlcdf:4",,"unlcdc:SY",,,"SYDEZ"
"unlcd:SYHMS","Homs",,"unlcdf:2, unlcdf:3","unlcds:SYHI","unlcdc:SY","34.733334","36.716667","SYHMS"
"unlcd:SYKAC","Kameshli",,"unlcdf:4",,"unlcdc:SY",,,"SYKAC"
"unlcd:SYLTK","Latakia",,"unlcdf:1, unlcdf:4",,"unlcdc:SY","35.516666","35.783333","SYLTK"
"unlcd:SYPMS","Palmyra",,"unlcdf:4",,"unlcdc:SY",,,"SYPMS"
"unlcd:SYQDR","Dera'a",,"unlcdf:4, unlcdf:5",,"unlcdc:SY",,,"SYQDR"
"unlcd:SYQHM","Hama",,"unlcdf:0",,"unlcdc:SY",,,"SYQHM"
"unlcd:SYQSW","Sweida",,"unlcdf:4",,"unlcdc:SY",,,"SYQSW"
"unlcd:SYSOR","Al Thaurah",,"unlcdf:4",,"unlcdc:SY",,,"SYSOR"
"unlcd:SYTAO","Tartus Oil Terminal",,"unlcdf:1","unlcds:SYTA","unlcdc:SY","34.966667","35.883335","SYTAO"
"unlcd:SYTTS","Tartus",,"unlcdf:1, unlcdf:3","unlcds:SYTA","unlcdc:SY","34.9","35.9","SYTTS"
"unlcd:SYWST","Wasit",,"unlcdf:0",,"unlcdc:SY",,,"SYWST"
"unlcd:SYYBD","Yabrud",,"unlcdf:3","unlcds:SYRD","unlcdc:SY","33.966667","36.65","SYYBD"
