"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SZ7DS","Sidvokodvo",,"unlcdf:1, unlcdf:3","unlcds:SZMA","unlcdc:SZ","-26.616667","31.45","SZ7DS"
"unlcd:SZAGN","Agno",,"unlcdf:6",,"unlcdc:SZ","45.983334","8.85","SZAGN"
"unlcd:SZEPA","Epagny",,"unlcdf:6",,"unlcdc:SZ","46.966667","7.133333","SZEPA"
"unlcd:SZEZU","Ezulwini",,"unlcdf:6","unlcds:SZHH","unlcdc:SZ","-26.4","31.166666","SZEZU"
"unlcd:SZKLB","Kollbrunn",,"unlcdf:6",,"unlcdc:SZ","47.45","8.783334","SZKLB"
"unlcd:SZLHH","Lomahasha",,"unlcdf:3","unlcds:SZLU","unlcdc:SZ","-25.983334","32.0","SZLHH"
"unlcd:SZMAL","Malkerns",,"unlcdf:1, unlcdf:3","unlcds:SZLU","unlcdc:SZ","-26.566668","31.183332","SZMAL"
"unlcd:SZMAT","Matsapha",,"unlcdf:3",,"unlcdc:SZ",,,"SZMAT"
"unlcd:SZMHU","Mhlume",,"unlcdf:3","unlcds:SZLU","unlcdc:SZ","26.033333","31.85","SZMHU"
"unlcd:SZMLY","Mahlanya",,"unlcdf:3","unlcds:SZMA","unlcdc:SZ","-26.5","31.283333","SZMLY"
"unlcd:SZMOT","Motshane",,"unlcdf:6",,"unlcdc:SZ","-26.316668","31.133333","SZMOT"
"unlcd:SZMTS","Manzini",,"unlcdf:4, unlcdf:5",,"unlcdc:SZ",,,"SZMTS"
"unlcd:SZNHL","Nhlangano",,"unlcdf:1, unlcdf:3",,"unlcdc:SZ","-27.116667","31.2","SZNHL"
"unlcd:SZQMN","Mbabane",,"unlcdf:2, unlcdf:4, unlcdf:5",,"unlcdc:SZ",,,"SZQMN"
"unlcd:SZSHO","King Mswati III International Apt",,"unlcdf:4","unlcds:SZMA","unlcdc:SZ","-26.35","31.716667","SZSHO"
"unlcd:SZSIM","Simunye",,"unlcdf:3","unlcds:SZLU","unlcdc:SZ","-26.2","31.916666","SZSIM"
"unlcd:SZSPH","Siphofaneni",,"unlcdf:2, unlcdf:3","unlcds:SZLU","unlcdc:SZ","-26.683332","31.683332","SZSPH"
"unlcd:SZUBO","Ubombo",,"unlcdf:3",,"unlcdc:SZ","-27.566668","32.083332","SZUBO"
