"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TD2GR","Mongo",,"unlcdf:3","unlcds:TDGR","unlcdc:TD","12.183333","18.7","TD2GR"
"unlcd:TDAEH","Abéché","Abeche","unlcdf:4",,"unlcdc:TD","13.816667","20.816668","TDAEH"
"unlcd:TDAJR","Amdjarass",,"unlcdf:3","unlcds:TDEE","unlcdc:TD","16.05","22.833334","TDAJR"
"unlcd:TDAKM","Zakouma",,"unlcdf:4",,"unlcdc:TD",,,"TDAKM"
"unlcd:TDAMC","Am Timan",,"unlcdf:4",,"unlcdc:TD",,,"TDAMC"
"unlcd:TDAMO","Mao",,"unlcdf:4",,"unlcdc:TD",,,"TDAMO"
"unlcd:TDAOD","Abou-Deïa","Abou-Deia","unlcdf:4",,"unlcdc:TD","11.45","19.283333","TDAOD"
"unlcd:TDATV","Ati",,"unlcdf:4",,"unlcdc:TD",,,"TDATV"
"unlcd:TDBAD","Badila",,"unlcdf:3","unlcds:TDLR","unlcdc:TD","8.35","16.283333","TDBAD"
"unlcd:TDBGA","Baga Sola",,"unlcdf:3","unlcds:TDLC","unlcdc:TD","13.533334","14.3","TDBGA"
"unlcd:TDBKR","Bokoro",,"unlcdf:4",,"unlcdc:TD",,,"TDBKR"
"unlcd:TDBNB","Bitkine",,"unlcdf:3","unlcds:TDGR","unlcdc:TD","11.966666","18.2","TDBNB"
"unlcd:TDBND","Banda",,"unlcdf:3",,"unlcdc:TD","9.15","18.366667","TDBND"
"unlcd:TDCHG","Chagoua",,"unlcdf:6","unlcds:TDCB","unlcdc:TD","12.083333","15.083333","TDCHG"
"unlcd:TDDOB","Doba",,"unlcdf:3","unlcds:TDMC","unlcdc:TD","8.633333","16.833334","TDDOB"
"unlcd:TDFYT","Faya",,"unlcdf:4",,"unlcdc:TD",,,"TDFYT"
"unlcd:TDGAY","Gaya",,"unlcdf:3","unlcds:TDKA","unlcdc:TD","13.9","15.5","TDGAY"
"unlcd:TDGHD","Gadang-Haddad-Dandi",,"unlcdf:3",,"unlcdc:TD",,,"TDGHD"
"unlcd:TDGOR","Gore",,"unlcdf:3","unlcds:TDLR","unlcdc:TD","7.9166665","16.633333","TDGOR"
"unlcd:TDGRD","Guereda",,"unlcdf:3","unlcds:TDWF","unlcdc:TD","14.516666","22.083334","TDGRD"
"unlcd:TDGZB","Goz Beida",,"unlcdf:3, unlcdf:4","unlcds:TDSI","unlcdc:TD","12.216666","21.4","TDGZB"
"unlcd:TDIRI","Iriba",,"unlcdf:3","unlcds:TDWF","unlcdc:TD","15.116667","22.25","TDIRI"
"unlcd:TDKEL","Kélo","Kelo","unlcdf:3","unlcds:TDTA","unlcdc:TD","9.316667","15.8","TDKEL"
"unlcd:TDKMC","Kyabé","Kyabe","unlcdf:3, unlcdf:4","unlcds:TDMC","unlcdc:TD","9.45","18.95","TDKMC"
"unlcd:TDKME","Komé","Kome","unlcdf:2, unlcdf:3",,"unlcdc:TD","8.45","16.7","TDKME"
"unlcd:TDKMR","Koumra",,"unlcdf:3",,"unlcdc:TD","8.9","17.55","TDKMR"
"unlcd:TDKOU","Koumara",,"unlcdf:3",,"unlcdc:TD","7.95","15.5","TDKOU"
"unlcd:TDLER","Léré","Lere","unlcdf:3","unlcds:TDMO","unlcdc:TD","9.65","14.216666","TDLER"
"unlcd:TDLTC","Lai",,"unlcdf:4",,"unlcdc:TD",,,"TDLTC"
"unlcd:TDMEF","Melfi",,"unlcdf:4",,"unlcdc:TD",,,"TDMEF"
"unlcd:TDMGR","Mangara",,"unlcdf:3","unlcds:TDMC","unlcdc:TD","8.983334","18.083334","TDMGR"
"unlcd:TDMOU","Moussoro",,"unlcdf:3","unlcds:TDKA","unlcdc:TD","13.65","16.483334","TDMOU"
"unlcd:TDMQQ","Moundou",,"unlcdf:4",,"unlcdc:TD",,,"TDMQQ"
"unlcd:TDMVO","Mongo",,"unlcdf:4",,"unlcdc:TD",,,"TDMVO"
"unlcd:TDNDJ","N'Djamena",,"unlcdf:4, unlcdf:5",,"unlcdc:TD","12.116667","15.05","TDNDJ"
"unlcd:TDOGR","Bongor",,"unlcdf:4",,"unlcdc:TD",,,"TDOGR"
"unlcd:TDOTC","Bol",,"unlcdf:4",,"unlcdc:TD",,,"TDOTC"
"unlcd:TDOUM","Oum Hadjer",,"unlcdf:4",,"unlcdc:TD",,,"TDOUM"
"unlcd:TDOUT","Bousso",,"unlcdf:4",,"unlcdc:TD",,,"TDOUT"
"unlcd:TDPLF","Pala",,"unlcdf:4",,"unlcdc:TD",,,"TDPLF"
"unlcd:TDSOB","Soba",,"unlcdf:6",,"unlcdc:TD","15.366667","21.783333","TDSOB"
"unlcd:TDSRH","Sarh",,"unlcdf:4, unlcdf:5",,"unlcdc:TD",,,"TDSRH"
