"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:THARA","Aranyaprathet",,"unlcdf:3","unlcds:TH27","unlcdc:TH","13.666667","102.55","THARA"
"unlcd:THATH","Ang Thong",,"unlcdf:3","unlcds:TH15","unlcdc:TH","14.583333","100.45","THATH"
"unlcd:THAYU","Ayutthaya",,"unlcdf:3","unlcds:TH10","unlcdc:TH","14.333333","100.53333","THAYU"
"unlcd:THBAI","Bangpoomai",,"unlcdf:1, unlcdf:3",,"unlcdc:TH","13.5","100.6","THBAI"
"unlcd:THBAN","Bang Khen",,"unlcdf:3","unlcds:TH10","unlcdc:TH","13.866667","100.6","THBAN"
"unlcd:THBEN","Benchamas",,"unlcdf:1",,"unlcdc:TH","10.516666","101.316666","THBEN"
"unlcd:THBET","Betong",,"unlcdf:3","unlcds:TH95","unlcdc:TH","5.7666664","101.066666","THBET"
"unlcd:THBFV","Buri Ram Apt",,"unlcdf:4","unlcds:TH31","unlcdc:TH","15.233334","103.25","THBFV"
"unlcd:THBKH","Ban Khai",,"unlcdf:3","unlcds:TH21","unlcdc:TH","9.683333","100.05","THBKH"
"unlcd:THBKK","Bangkok",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:TH10","unlcdc:TH","13.75","100.51667","THBKK"
"unlcd:THBKT","Buketa Customs House",,"unlcdf:3","unlcds:TH96","unlcdc:TH","5.8333335","101.88333","THBKT"
"unlcd:THBMT","Bangkok Modern Terminals/Bangkok",,"unlcdf:1, unlcdf:3",,"unlcdc:TH","13.6","100.583336","THBMT"
"unlcd:THBND","Ban Don",,"unlcdf:1","unlcds:TH84","unlcdc:TH","9.183333","99.36667","THBND"
"unlcd:THBNG","Bangnara",,"unlcdf:1","unlcds:TH96","unlcdc:TH","6.4333334","101.833336","THBNG"
"unlcd:THBNK","Ban Kantang",,"unlcdf:1, unlcdf:3","unlcds:TH92","unlcdc:TH","7.4166665","99.5","THBNK"
"unlcd:THBNL","Ban Laem",,"unlcdf:1","unlcds:TH76","unlcdc:TH","13.116667","100.11667","THBNL"
"unlcd:THBNP","Bang Nam Prieo",,"unlcdf:3","unlcds:TH24","unlcdc:TH","13.85","101.066666","THBNP"
"unlcd:THBPG","Ban Pong",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:TH","13.8","99.86667","THBPG"
"unlcd:THBPH","Bang Phli",,"unlcdf:3","unlcds:TH11","unlcdc:TH","13.6","100.71667","THBPH"
"unlcd:THBPK","Ban Prakop Customs House",,"unlcdf:1, unlcdf:3","unlcds:TH90","unlcdc:TH","6.4666667","100.71667","THBPK"
