"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TJCHK","Chkalovsk",,"unlcdf:3",,"unlcdc:TJ","40.233334","69.683334","TJCHK"
"unlcd:TJDYU","Dushanbe",,"unlcdf:4",,"unlcdc:TJ",,,"TJDYU"
"unlcd:TJGAM","Garm",,"unlcdf:3","unlcds:TJGB","unlcdc:TJ","39.016666","70.36667","TJGAM"
"unlcd:TJKHI","Khirmanak",,"unlcdf:3",,"unlcdc:TJ","38.583332","68.55","TJKHI"
"unlcd:TJKHU","Khujand",,"unlcdf:6",,"unlcdc:TJ","40.266666","69.61667","TJKHU"
"unlcd:TJKLB","Kulob",,"unlcdf:3","unlcds:TJKT","unlcdc:TJ","37.9","69.76667","TJKLB"
"unlcd:TJKUR","Qurghonteppa",,"unlcdf:2, unlcdf:3","unlcds:TJKT","unlcdc:TJ","37.833332","68.76667","TJKUR"
"unlcd:TJLBD","Khudzhand",,"unlcdf:4",,"unlcdc:TJ",,,"TJLBD"
"unlcd:TJNUK","Nurak (Nurek)",,"unlcdf:3","unlcds:TJKT","unlcdc:TJ","38.383335","69.316666","TJNUK"
"unlcd:TJPJK","Penjikent",,"unlcdf:3","unlcds:TJSU","unlcdc:TJ","39.5","67.6","TJPJK"
"unlcd:TJSFA","Isfara",,"unlcdf:3",,"unlcdc:TJ","40.116665","70.63333","TJSFA"
"unlcd:TJSTZ","Shaartuz",,"unlcdf:2, unlcdf:3","unlcds:TJKT","unlcdc:TJ","37.25","68.13333","TJSTZ"
"unlcd:TJVAH","Vahdat",,"unlcdf:3",,"unlcdc:TJ","38.55","69.01667","TJVAH"
