"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TMAGT","Ashgabat",,"unlcdf:2, unlcdf:6","unlcds:TMS","unlcdc:TM","37.95","58.383335","TMAGT"
"unlcd:TMAKD","Akdepe",,"unlcdf:3",,"unlcdc:TM","38.3","57.583332","TMAKD"
"unlcd:TMALT","Altyn Asyr",,"unlcdf:1, unlcdf:6",,"unlcdc:TM","37.883335","58.366665","TMALT"
"unlcd:TMAMY","Amyderya",,"unlcdf:3","unlcds:TML","unlcdc:TM","37.883335","65.23333","TMAMY"
"unlcd:TMASB","Ashkhabad",,"unlcdf:3, unlcdf:4","unlcds:TMS","unlcdc:TM","37.95","58.383335","TMASB"
"unlcd:TMBAB","Babadaýhan","Babadayhan","unlcdf:3","unlcds:TMA","unlcdc:TM","37.683334","60.383335","TMBAB"
"unlcd:TMBAH","Bäherden","Baherden","unlcdf:2, unlcdf:3",,"unlcdc:TM","38.433334","57.416668","TMBAH"
"unlcd:TMBAL","Balkanabat",,"unlcdf:2, unlcdf:3","unlcds:TMB","unlcdc:TM","39.5","54.35","TMBAL"
"unlcd:TMBAY","Bayramaly",,"unlcdf:2, unlcdf:3",,"unlcdc:TM","37.616665","62.166668","TMBAY"
"unlcd:TMBKH","Bekdash",,"unlcdf:3","unlcds:TMB","unlcdc:TM","41.566666","52.533333","TMBKH"
"unlcd:TMBOL","Boldumsaz",,"unlcdf:2, unlcdf:3",,"unlcdc:TM","42.133335","59.666668","TMBOL"
"unlcd:TMBZY","Büzmeyin","Buzmeyin","unlcdf:2, unlcdf:3",,"unlcdc:TM","38.05","58.2","TMBZY"
"unlcd:TMCHE","Cheleken",,"unlcdf:1, unlcdf:3","unlcds:TMB","unlcdc:TM","39.4","53.133335","TMCHE"
"unlcd:TMCJV","Chärjew","Charjew","unlcdf:3","unlcds:TML","unlcdc:TM","39.1","63.566666","TMCJV"
"unlcd:TMCRZ","Tchardjou",,"unlcdf:4, unlcdf:5",,"unlcdc:TM",,,"TMCRZ"
"unlcd:TMDHZ","Dashhowuz",,"unlcdf:3",,"unlcdc:TM","41.833332","59.95","TMDHZ"
"unlcd:TMFAR","Farap",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:TML","unlcdc:TM","39.166668","63.6","TMFAR"
"unlcd:TMGAL","Galkynys",,"unlcdf:2, unlcdf:3","unlcds:TML","unlcdc:TM","39.25","63.183334","TMGAL"
"unlcd:TMGUB","Gubadag",,"unlcdf:3",,"unlcdc:TM","42.066666","59.966667","TMGUB"
"unlcd:TMGYP","Gypjak",,"unlcdf:3","unlcds:TMA","unlcdc:TM","38.0","58.25","TMGYP"
"unlcd:TMHAL","Halach",,"unlcdf:1, unlcdf:3",,"unlcdc:TM","38.066666","64.88333","TMHAL"
"unlcd:TMJEB","Jebel",,"unlcdf:3",,"unlcdc:TM","39.616665","54.216667","TMJEB"
