"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TNAKO","Akouda",,"unlcdf:3","unlcds:TN51","unlcdc:TN","35.866665","10.566667","TNAKO"
"unlcd:TNAMN","Al Manarah",,"unlcdf:3","unlcds:TN52","unlcdc:TN","35.7","10.783334","TNAMN"
"unlcd:TNAQR","Al Qayrawan",,"unlcdf:3",,"unlcdc:TN","35.666668","10.083333","TNAQR"
"unlcd:TNAQY","Al Qasrayn",,"unlcdf:2, unlcdf:3",,"unlcdc:TN","35.166668","8.833333","TNAQY"
"unlcd:TNARB","Zriba",,"unlcdf:6",,"unlcdc:TN","36.333332","10.25","TNARB"
"unlcd:TNARI","Ariana",,"unlcdf:1, unlcdf:6","unlcds:TN11","unlcdc:TN","36.85","10.183333","TNARI"
"unlcd:TNASH","Ashtart Terminal",,"unlcdf:1",,"unlcdc:TN",,,"TNASH"
"unlcd:TNB6Q","Bu Urqub",,"unlcdf:3","unlcds:TN21","unlcdc:TN","36.533333","10.55","TNB6Q"
"unlcd:TNB8N","Bou Argoub",,"unlcdf:3","unlcds:TN21","unlcdc:TN","36.533333","10.55","TNB8N"
"unlcd:TNBAR","Ben Arous",,"unlcdf:3","unlcds:TN13","unlcdc:TN","36.75","10.216666","TNBAR"
"unlcd:TNBDL","Les Berges du Lac",,"unlcdf:6","unlcds:TN11","unlcdc:TN",,,"TNBDL"
"unlcd:TNBEB","Borj el Bey",,"unlcdf:3","unlcds:TN51","unlcdc:TN","36.033333","10.3","TNBEB"
"unlcd:TNBEJ","Béja","Beja","unlcdf:2, unlcdf:3",,"unlcdc:TN","36.733334","9.183333","TNBEJ"
"unlcd:TNBGA","Ben Gardane",,"unlcdf:3",,"unlcdc:TN",,,"TNBGA"
"unlcd:TNBIR","Bir Mcherga",,"unlcdf:3","unlcds:TN22","unlcdc:TN","36.516666","9.95","TNBIR"
"unlcd:TNBIZ","Bizerte",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:TN",,,"TNBIZ"
"unlcd:TNBJC","Borj Cedria",,"unlcdf:1, unlcdf:3","unlcds:TN21","unlcdc:TN","36.7","10.4","TNBJC"
"unlcd:TNBNA","Bin Arous",,"unlcdf:3",,"unlcdc:TN","36.75","10.316667","TNBNA"
"unlcd:TNBOF","Bou Ficha",,"unlcdf:3","unlcds:TN51","unlcdc:TN","36.3","10.45","TNBOF"
"unlcd:TNBOU","Boumhel",,"unlcdf:6","unlcds:TN13","unlcdc:TN","36.716667","10.3","TNBOU"
"unlcd:TNBUH","Bu Hajar",,"unlcdf:6","unlcds:TN52","unlcdc:TN","35.683334","10.866667","TNBUH"
"unlcd:TNCAR","Carthage",,"unlcdf:3","unlcds:TN11","unlcdc:TN","36.85","10.316667","TNCAR"
"unlcd:TNCHA","Chaouat",,"unlcdf:3",,"unlcdc:TN","36.866665","9.95","TNCHA"
"unlcd:TNCHB","Chebba",,"unlcdf:1, unlcdf:3","unlcds:TN53","unlcdc:TN","35.233334","11.1","TNCHB"
"unlcd:TNDAR","Dar Chabanne",,"unlcdf:6","unlcds:TN21","unlcdc:TN","36.466667","10.75","TNDAR"
"unlcd:TNDID","Didon",,"unlcdf:1",,"unlcdc:TN","33.766666","11.9","TNDID"
"unlcd:TNDJE","Djerba",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:TN",,,"TNDJE"
