"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TR9AK","Pasaköy","Pasakoy","unlcdf:1, unlcdf:3","unlcds:TR34","unlcdc:TR","41.016666","29.266666","TR9AK"
"unlcd:TRABH","Basaksehir",,"unlcdf:3","unlcds:TR34","unlcdc:TR","41.083332","28.816668","TRABH"
"unlcd:TRABK","Alibeyköy","Alibeykoy","unlcdf:3","unlcds:TR34","unlcdc:TR","41.083332","28.933332","TRABK"
"unlcd:TRACI","Acibadem",,"unlcdf:0","unlcds:TR34","unlcdc:TR",,,"TRACI"
"unlcd:TRADA","Adana",,"unlcdf:1, unlcdf:4","unlcds:TR01","unlcdc:TR",,,"TRADA"
"unlcd:TRADB","Izmir Adnan Menderes International Airport",,"unlcdf:4","unlcds:TR35","unlcdc:TR","38.4","27.15","TRADB"
"unlcd:TRADI","Adiyaman",,"unlcdf:0","unlcds:TR02","unlcdc:TR",,,"TRADI"
"unlcd:TRADK","Anadolukavagi",,"unlcdf:0","unlcds:TR34","unlcdc:TR",,,"TRADK"
"unlcd:TRADN","Aydin",,"unlcdf:0","unlcds:TR09","unlcdc:TR",,,"TRADN"
"unlcd:TRADY","Yumurtalik",,"unlcdf:1","unlcds:TR01","unlcdc:TR","36.766666","35.783333","TRADY"
"unlcd:TRADZ","Adapazari",,"unlcdf:3","unlcds:TR54","unlcdc:TR",,,"TRADZ"
"unlcd:TRAFY","Afyonkarahisar",,"unlcdf:3, unlcdf:4","unlcds:TR03","unlcdc:TR",,,"TRAFY"
"unlcd:TRAHM","Ahmetli",,"unlcdf:0","unlcds:TR45","unlcdc:TR",,,"TRAHM"
"unlcd:TRAHR","Aksehir",,"unlcdf:0","unlcds:TR42","unlcdc:TR",,,"TRAHR"
"unlcd:TRAHS","Akhisar",,"unlcdf:0","unlcds:TR45","unlcdc:TR",,,"TRAHS"
"unlcd:TRAIZ","Altinusagi",,"unlcdf:3","unlcds:TR23","unlcdc:TR","38.566666","38.466667","TRAIZ"
"unlcd:TRAJI","Agri",,"unlcdf:4","unlcds:TR04","unlcdc:TR",,,"TRAJI"
"unlcd:TRAKA","Antakya",,"unlcdf:3","unlcds:TR31","unlcdc:TR","36.183334","36.166668","TRAKA"
"unlcd:TRAKB","Akçaabat","Akcaabat","unlcdf:1","unlcds:TR61","unlcdc:TR","41.016666","39.566666","TRAKB"
"unlcd:TRAKC","Akcansa",,"unlcdf:1","unlcds:TR17","unlcdc:TR","40.1","26.383333","TRAKC"
"unlcd:TRAKD","Akdeniz",,"unlcdf:1",,"unlcdc:TR","36.866665","34.7","TRAKD"
"unlcd:TRAKI","Akseki",,"unlcdf:0","unlcds:TR07","unlcdc:TR",,,"TRAKI"
