"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TWACH","Hsin-chuang",,"unlcdf:3","unlcds:TWKHH","unlcdc:TW","22.75","120.3","TWACH"
"unlcd:TWANG","Nangang",,"unlcdf:3","unlcds:TWKHH","unlcdc:TW","25.083334","122.0","TWANG"
"unlcd:TWAPG","An Ping",,"unlcdf:1",,"unlcdc:TW",,,"TWAPG"
"unlcd:TWBAL","Bali",,"unlcdf:1, unlcdf:3",,"unlcdc:TW","25.15","121.4","TWBAL"
"unlcd:TWBDA","Budai",,"unlcdf:1",,"unlcdc:TW","23.366667","120.1","TWBDA"
"unlcd:TWBDC","Bade City",,"unlcdf:6","unlcds:TWTAO","unlcdc:TW","24.95","121.28333","TWBDC"
"unlcd:TWCHW","Chang-Hua",,"unlcdf:2, unlcdf:3",,"unlcdc:TW","24.066668","120.51667","TWCHW"
"unlcd:TWCLI","Chung-Li",,"unlcdf:3",,"unlcdc:TW",,,"TWCLI"
"unlcd:TWCMJ","Chi Mei",,"unlcdf:4",,"unlcdc:TW",,,"TWCMJ"
"unlcd:TWCUP","Chu-pei",,"unlcdf:3, unlcdf:6","unlcds:TWHSZ","unlcdc:TW","24.833334","121.0","TWCUP"
"unlcd:TWCYI","Chiayi",,"unlcdf:4",,"unlcdc:TW",,,"TWCYI"
"unlcd:TWFEY","Yüang-wang","Yuang-wang","unlcdf:3",,"unlcdc:TW","24.05","121.15","TWFEY"
"unlcd:TWFYN","Feng-yüan-ch'ü","Feng-yuan-ch'u","unlcdf:2, unlcdf:3","unlcds:TWTXG","unlcdc:TW","24.25","120.71667","TWFYN"
"unlcd:TWGAN","Gangshan",,"unlcdf:3","unlcds:TWKHH","unlcdc:TW","22.783333","120.28333","TWGAN"
"unlcd:TWGNI","Green Island",,"unlcdf:4",,"unlcdc:TW",,,"TWGNI"
"unlcd:TWGUE","Guishan",,"unlcdf:3","unlcds:TWTAO","unlcdc:TW","24.9","121.55","TWGUE"
"unlcd:TWHCH","Hsi-Chih",,"unlcdf:3",,"unlcdc:TW","25.066668","121.65","TWHCH"
"unlcd:TWHCN","Hengchun",,"unlcdf:4",,"unlcdc:TW",,,"TWHCN"
"unlcd:TWHOP","Hoping",,"unlcdf:1","unlcds:TWHUA","unlcdc:TW",,,"TWHOP"
"unlcd:TWHSI","Hsichih",,"unlcdf:3",,"unlcdc:TW","25.066668","121.65","TWHSI"
"unlcd:TWHSZ","Hsin-chu",,"unlcdf:3, unlcdf:4",,"unlcdc:TW","24.816668","120.96667","TWHSZ"
"unlcd:TWHTC","Hsin-t'ien",,"unlcdf:1, unlcdf:3","unlcds:TWTPE","unlcdc:TW",,,"TWHTC"
"unlcd:TWHUK","Hukou",,"unlcdf:1","unlcds:TWHSQ","unlcdc:TW","24.9","121.05","TWHUK"
"unlcd:TWHUN","Hualien",,"unlcdf:1, unlcdf:4",,"unlcdc:TW",,,"TWHUN"
"unlcd:TWILA","I-lan",,"unlcdf:2, unlcdf:3",,"unlcdc:TW","24.766666","121.75","TWILA"
"unlcd:TWKEL","Keelung (Chilung)",,"unlcdf:1",,"unlcdc:TW",,,"TWKEL"
"unlcd:TWKEZ","Kepz",,"unlcdf:0",,"unlcdc:TW",,,"TWKEZ"
"unlcd:TWKHH","Kaohsiung",,"unlcdf:1, unlcdf:4",,"unlcdc:TW",,,"TWKHH"
"unlcd:TWKNH","Kinmen",,"unlcdf:4",,"unlcdc:TW",,,"TWKNH"
"unlcd:TWKYD","Orchid Island",,"unlcdf:4",,"unlcdc:TW",,,"TWKYD"
"unlcd:TWLGM","Lung-men",,"unlcdf:1",,"unlcdc:TW","23.566668","119.666664","TWLGM"
"unlcd:TWLHN","Lishan",,"unlcdf:4",,"unlcdc:TW",,,"TWLHN"
"unlcd:TWMAL","Mai-Liai",,"unlcdf:1",,"unlcdc:TW","23.75","120.25","TWMAL"
