"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:TZARK","Arusha",,"unlcdf:4, unlcdf:5",,"unlcdc:TZ",,,"TZARK"
"unlcd:TZBAB","Babati",,"unlcdf:3","unlcds:TZ26","unlcdc:TZ","-4.2166667","35.75","TZBAB"
"unlcd:TZBHO","Biharamulo",,"unlcdf:3","unlcds:TZ05","unlcdc:TZ","-2.6166668","31.3","TZBHO"
"unlcd:TZBKZ","Bukoba",,"unlcdf:4",,"unlcdc:TZ",,,"TZBKZ"
"unlcd:TZDAR","Dar es Salaam",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:TZ","-6.8","39.283333","TZDAR"
"unlcd:TZDOD","Dodoma",,"unlcdf:4",,"unlcdc:TZ",,,"TZDOD"
"unlcd:TZGIT","Geita",,"unlcdf:3, unlcdf:4",,"unlcdc:TZ",,,"TZGIT"
"unlcd:TZICD","African Inland Container Depot",,"unlcdf:6","unlcds:TZ02","unlcdc:TZ","-6.8333335","39.233334","TZICD"
"unlcd:TZIKW","Ikwiriri",,"unlcdf:1, unlcdf:3",,"unlcdc:TZ","-7.9833336","39.016666","TZIKW"
"unlcd:TZIRI","Iringa",,"unlcdf:4",,"unlcdc:TZ",,,"TZIRI"
"unlcd:TZISK","Isaka",,"unlcdf:3",,"unlcdc:TZ","-3.8666668","32.933334","TZISK"
"unlcd:TZJOM","Njombe",,"unlcdf:4",,"unlcdc:TZ",,,"TZJOM"
"unlcd:TZJRO","Kilimanjaro",,"unlcdf:4",,"unlcdc:TZ",,,"TZJRO"
"unlcd:TZKAG","Kagera",,"unlcdf:1, unlcdf:6",,"unlcdc:TZ","-4.65","30.666666","TZKAG"
"unlcd:TZKBD","Kibondo",,"unlcdf:6","unlcds:TZ08","unlcdc:TZ","-3.5833333","30.716667","TZKBD"
