"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:US237","Great Mills",,"unlcdf:3","unlcds:USMD","unlcdc:US","38.233334","-76.48333","US237"
"unlcd:US267","Hermitage",,"unlcdf:3","unlcds:USAR","unlcdc:US","33.433334","-92.166664","US267"
"unlcd:US289","West Friendship",,"unlcdf:2, unlcdf:3","unlcds:USMD","unlcdc:US","39.3","-76.95","US289"
"unlcd:US299","Cordova",,"unlcdf:3","unlcds:USAL","unlcdc:US","33.75","-87.183334","US299"
"unlcd:US2AA","Ambia",,"unlcdf:3","unlcds:USIN","unlcdc:US","40.483334","-87.51667","US2AA"
"unlcd:US2AD","Aldan",,"unlcdf:3","unlcds:USPA","unlcdc:US","39.916668","-75.28333","US2AD"
"unlcd:US2AP","Hummels Wharf",,"unlcdf:3","unlcds:USPA","unlcdc:US","40.816666","-76.833336","US2AP"
"unlcd:US2AR","Adair",,"unlcdf:3","unlcds:USOK","unlcdc:US","36.433334","-95.26667","US2AR"
"unlcd:US2AV","Avoca",,"unlcdf:3","unlcds:USNY","unlcdc:US","42.4","-77.416664","US2AV"
"unlcd:US2BB","Babbitt",,"unlcdf:3","unlcds:USMN","unlcdc:US","47.7","-91.933334","US2BB"
"unlcd:US2BG","Bergen",,"unlcdf:3","unlcds:USNJ","unlcdc:US","40.716667","-74.05","US2BG"
"unlcd:US2BL","Blackwell",,"unlcdf:3","unlcds:USAR","unlcdc:US","35.216667","-92.833336","US2BL"
"unlcd:US2BM","Blue Mounds",,"unlcdf:3","unlcds:USWI","unlcdc:US","43.016666","-89.816666","US2BM"
"unlcd:US2BO","Boss",,"unlcdf:3","unlcds:USMO","unlcdc:US","37.633335","-91.183334","US2BO"
"unlcd:US2BS","Bismarck",,"unlcdf:3","unlcds:USIL","unlcdc:US","40.25","-87.6","US2BS"
"unlcd:US2BT","Big Tree",,"unlcdf:3","unlcds:USNY","unlcdc:US","42.766666","-78.8","US2BT"
"unlcd:US2BU","Bureau",,"unlcdf:3","unlcds:USIL","unlcdc:US","41.283333","-89.35","US2BU"
"unlcd:US2BY","Ballston Lake",,"unlcdf:1","unlcds:USNY","unlcdc:US","42.9","-73.86667","US2BY"
"unlcd:US2CB","Cambridge",,"unlcdf:3","unlcds:USIL","unlcdc:US","41.3","-90.183334","US2CB"
"unlcd:US2CC","Cement City",,"unlcdf:3","unlcds:USMI","unlcdc:US","42.2","-84.316666","US2CC"
"unlcd:US2CD","Cataldo",,"unlcdf:3","unlcds:USID","unlcdc:US","47.533333","-116.316666","US2CD"
"unlcd:US2CH","Cottage Hills",,"unlcdf:3","unlcds:USIL","unlcdc:US","38.9","-90.066666","US2CH"
"unlcd:US2CL","Crystal Lawns",,"unlcdf:3","unlcds:USIL","unlcdc:US","41.566666","-88.15","US2CL"
"unlcd:US2CO","Colona",,"unlcdf:3","unlcds:USIL","unlcdc:US","41.483334","-90.35","US2CO"
"unlcd:US2CP","Clear Spring",,"unlcdf:3","unlcds:USMD","unlcdc:US","39.65","-77.916664","US2CP"
"unlcd:US2CS","Chester",,"unlcdf:3","unlcds:USMD","unlcdc:US","38.966667","-76.28333","US2CS"
"unlcd:US2CU","Cutler",,"unlcdf:3","unlcds:USIN","unlcdc:US","40.466667","-86.51667","US2CU"
"unlcd:US2CV","Collinsville",,"unlcdf:3","unlcds:USTX","unlcdc:US","33.55","-96.9","US2CV"
"unlcd:US2CW","North Caldwell",,"unlcdf:6","unlcds:USNJ","unlcdc:US","40.85","-74.25","US2CW"
"unlcd:US2DD","Dresden",,"unlcdf:3","unlcds:USMO","unlcdc:US","40.116665","-82.0","US2DD"
"unlcd:US2DE","Deatsville",,"unlcdf:3","unlcds:USAL","unlcdc:US","37.883335","-85.55","US2DE"
"unlcd:US2DK","Diamond Lake",,"unlcdf:3","unlcds:USIL","unlcdc:US","42.233334","-88.0","US2DK"
"unlcd:US2DS","Fairview",,"unlcdf:3","unlcds:USSD","unlcdc:US","43.216667","-96.48333","US2DS"
"unlcd:US2DU","Idalou",,"unlcdf:3","unlcds:USTX","unlcdc:US","33.65","-101.683334","US2DU"
"unlcd:US2EK","Eureka",,"unlcdf:3","unlcds:USIL","unlcdc:US","40.716667","-89.26667","US2EK"
"unlcd:US2FL","Copemish",,"unlcdf:3","unlcds:USMI","unlcdc:US","44.466667","-85.916664","US2FL"
"unlcd:US2GA","Gantt",,"unlcdf:3","unlcds:USAL","unlcdc:US","31.4","-86.48333","US2GA"
"unlcd:US2GD","Hobgood",,"unlcdf:3","unlcds:USNC","unlcdc:US","36.016666","-77.38333","US2GD"
"unlcd:US2GE","Glen Easton",,"unlcdf:3","unlcds:USWV","unlcdc:US","39.833332","-80.63333","US2GE"
"unlcd:US2GP","Grantham",,"unlcdf:3","unlcds:USPA","unlcdc:US","40.15","-76.98333","US2GP"
"unlcd:US2GW","Glenwood",,"unlcdf:3","unlcds:USMO","unlcdc:US","40.516666","-92.566666","US2GW"
"unlcd:US2H4","New Hope",,"unlcdf:3","unlcds:USKY","unlcdc:US","37.616665","-85.5","US2H4"
"unlcd:US2HA","Hamilton",,"unlcdf:3","unlcds:USWA","unlcdc:US","41.533333","-71.433334","US2HA"
"unlcd:US2HE","Helmsburg",,"unlcdf:3","unlcds:USIN","unlcdc:US","39.25","-86.28333","US2HE"
"unlcd:US2HM","Hines",,"unlcdf:3","unlcds:USMN","unlcdc:US","47.683334","-94.61667","US2HM"
"unlcd:US2HO","Winesburg",,"unlcdf:3","unlcds:USOH","unlcdc:US","40.6","-81.683334","US2HO"
"unlcd:US2HR","Harrold",,"unlcdf:3","unlcds:USSD","unlcdc:US","44.516666","-99.73333","US2HR"
"unlcd:US2IS","Indian Springs",,"unlcdf:3","unlcds:USAL","unlcdc:US","33.366665","-86.73333","US2IS"
"unlcd:US2JO","Saint John",,"unlcdf:3","unlcds:USKS","unlcdc:US","38.0","-98.75","US2JO"
"unlcd:US2KN","Monkton",,"unlcdf:3","unlcds:USMD","unlcdc:US","39.566666","-76.6","US2KN"
"unlcd:US2KS","Kansas",,"unlcdf:3","unlcds:USAR","unlcdc:US","33.85","-92.98333","US2KS"
"unlcd:US2KT","Kensington",,"unlcdf:3","unlcds:USMD","unlcdc:US","39.066666","-76.566666","US2KT"
"unlcd:US2LC","La Center",,"unlcdf:3","unlcds:USWA","unlcdc:US","45.85","-122.666664","US2LC"
"unlcd:US2LL","Prairie View",,"unlcdf:3","unlcds:USIL","unlcdc:US","42.183334","-87.95","US2LL"
"unlcd:US2LO","Loop",,"unlcdf:3","unlcds:USTX","unlcdc:US","32.9","-102.4","US2LO"
"unlcd:US2LT","Latham",,"unlcdf:3","unlcds:USMO","unlcdc:US","38.55","-92.666664","US2LT"
"unlcd:US2LV","Lynnville",,"unlcdf:3","unlcds:USTN","unlcdc:US","35.366665","-87.0","US2LV"
"unlcd:US2MA","Whitehall",,"unlcdf:3","unlcds:USMT","unlcdc:US","45.866665","-112.083336","US2MA"
"unlcd:US2MB","Madbury",,"unlcdf:3","unlcds:USNH","unlcdc:US","43.166668","-70.916664","US2MB"
"unlcd:US2MH","Manhattan",,"unlcdf:3","unlcds:USMT","unlcdc:US","45.85","-111.316666","US2MH"
"unlcd:US2MI","Minotola",,"unlcdf:3","unlcds:USNJ","unlcdc:US","39.516666","-74.933334","US2MI"
"unlcd:US2MM","Summit",,"unlcdf:3","unlcds:USMS","unlcdc:US","31.283333","-90.46667","US2MM"
"unlcd:US2MO","Monteagle",,"unlcdf:3","unlcds:USTN","unlcdc:US","35.233334","-85.833336","US2MO"
"unlcd:US2MP","Morgan Point",,"unlcdf:3","unlcds:USTX","unlcdc:US","29.666666","-94.98333","US2MP"
