"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:UZ6BT","Kungrad",,"unlcdf:3","unlcds:UZQR","unlcdc:UZ","43.066666","58.9","UZ6BT"
"unlcd:UZAGN","Ohangaron",,"unlcdf:2, unlcdf:3","unlcds:UZTO","unlcdc:UZ","40.9","69.63333","UZAGN"
"unlcd:UZAKT","Akaltyn",,"unlcdf:1, unlcdf:3",,"unlcdc:UZ","41.433334","61.066666","UZAKT"
"unlcd:UZALK","Almalyk",,"unlcdf:3",,"unlcdc:UZ",,,"UZALK"
"unlcd:UZALT","Altyaryk",,"unlcdf:2, unlcdf:3","unlcds:UZFA","unlcdc:UZ","40.383335","71.46667","UZALT"
"unlcd:UZASA","Asaka",,"unlcdf:1, unlcdf:3","unlcds:UZAN","unlcdc:UZ","40.633335","72.23333","UZASA"
"unlcd:UZAST","Astana",,"unlcdf:2, unlcdf:3","unlcds:UZXO","unlcdc:UZ","41.333332","60.6","UZAST"
"unlcd:UZAZN","Andizhan",,"unlcdf:4",,"unlcdc:UZ",,,"UZAZN"
"unlcd:UZBHK","Bukhara",,"unlcdf:4",,"unlcdc:UZ",,,"UZBHK"
"unlcd:UZCHU","Chukur-Say",,"unlcdf:2, unlcdf:3","unlcds:UZTO","unlcdc:UZ","41.366665","69.21667","UZCHU"
"unlcd:UZCKT","Chimkent",,"unlcdf:3","unlcds:UZFA","unlcdc:UZ","40.483334","71.63333","UZCKT"
"unlcd:UZFEG","Fergana",,"unlcdf:4",,"unlcdc:UZ",,,"UZFEG"
"unlcd:UZGST","Guliston",,"unlcdf:2, unlcdf:3",,"unlcdc:UZ","40.5","68.78333","UZGST"
"unlcd:UZGUT","Urgut",,"unlcdf:3","unlcds:UZSA","unlcdc:UZ","39.4","67.23333","UZGUT"
"unlcd:UZJIZ","Jizzakh",,"unlcdf:2, unlcdf:3","unlcds:UZJI","unlcdc:UZ","40.1","67.833336","UZJIZ"
"unlcd:UZKAM","Kamashi",,"unlcdf:3","unlcds:UZQA","unlcdc:UZ","38.816666","66.45","UZKAM"
"unlcd:UZKBZ","Karaulbazar",,"unlcdf:3",,"unlcdc:UZ","39.483334","64.78333","UZKBZ"
"unlcd:UZKGS","Kengsoy",,"unlcdf:3","unlcds:UZQA","unlcdc:UZ","38.35","65.85","UZKGS"
"unlcd:UZKHM","Khamza",,"unlcdf:2, unlcdf:3",,"unlcdc:UZ","40.416668","71.5","UZKHM"
"unlcd:UZKKH","Khanabad",,"unlcdf:3","unlcds:UZQA","unlcdc:UZ","38.833332","65.933334","UZKKH"
"unlcd:UZKOK","Kokand",,"unlcdf:2, unlcdf:3","unlcds:UZFA","unlcdc:UZ","40.516666","70.933334","UZKOK"
"unlcd:UZKPA","Karakalpakiya",,"unlcdf:3","unlcds:UZQR","unlcdc:UZ","44.75","56.083332","UZKPA"
"unlcd:UZKSQ","Karshi",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:UZQA","unlcdc:UZ","38.85","65.78333","UZKSQ"
"unlcd:UZMGN","Marghilon",,"unlcdf:2, unlcdf:3",,"unlcdc:UZ",,,"UZMGN"
"unlcd:UZNCU","Nukus",,"unlcdf:4",,"unlcdc:UZ",,,"UZNCU"
"unlcd:UZNMA","Namangan",,"unlcdf:4",,"unlcdc:UZ",,,"UZNMA"
"unlcd:UZNVI","Navoi Apt.",,"unlcdf:4","unlcds:UZNW","unlcdc:UZ","40.116665","65.166664","UZNVI"
"unlcd:UZNWY","Nawoiy",,"unlcdf:2, unlcdf:3",,"unlcdc:UZ","40.116665","65.35","UZNWY"
"unlcd:UZQAR","Qarshi",,"unlcdf:3","unlcds:UZQA","unlcdc:UZ","39.516666","59.483334","UZQAR"
"unlcd:UZQUN","Qunghirot",,"unlcdf:2, unlcdf:3","unlcds:UZQR","unlcdc:UZ","43.033333","58.833332","UZQUN"
"unlcd:UZSHU","Shurkhasan",,"unlcdf:3","unlcds:UZQA","unlcdc:UZ","38.9","67.2","UZSHU"
"unlcd:UZSKD","Samarkand",,"unlcdf:4",,"unlcdc:UZ",,,"UZSKD"
"unlcd:UZSYA","Sary-Assiya",,"unlcdf:3",,"unlcdc:UZ","39.116665","66.95","UZSYA"
"unlcd:UZTAS","Tashkent",,"unlcdf:2, unlcdf:4, unlcdf:5",,"unlcdc:UZ",,,"UZTAS"
"unlcd:UZTER","Termez",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:UZSU","unlcdc:UZ","37.216667","67.26667","UZTER"
"unlcd:UZTSH","Sergeli",,"unlcdf:3","unlcds:UZTO","unlcdc:UZ","41.4","69.73333","UZTSH"
"unlcd:UZUCH","Uchquduq",,"unlcdf:2, unlcdf:4","unlcds:UZNW","unlcdc:UZ","42.25","63.916668","UZUCH"
"unlcd:UZUGC","Urganch (Urgench)",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:UZXO","unlcdc:UZ","41.55","60.633335","UZUGC"
"unlcd:UZULU","Ulugbek",,"unlcdf:3",,"unlcdc:UZ","41.383335","69.4","UZULU"
"unlcd:UZYLH","Yalangach",,"unlcdf:3","unlcds:UZTO","unlcdc:UZ","41.35","69.333336","UZYLH"
"unlcd:UZZAR","Zarafshon",,"unlcdf:2, unlcdf:3","unlcds:UZNW","unlcdc:UZ","41.566666","64.2","UZZAR"
"unlcd:UZZER","Zeravshan",,"unlcdf:4","unlcds:UZNW","unlcdc:UZ","41.95","64.316666","UZZER"
