"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VCBQU","Port Elizabeth, Bequia",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:VC","13.0","-61.216667","VCBQU"
"unlcd:VCCAN","Canouan Island",,"unlcdf:1",,"unlcdc:VC","12.716666","-61.316666","VCCAN"
"unlcd:VCCPK","Camden Park",,"unlcdf:3","unlcds:VC02","unlcdc:VC","13.166667","-61.233334","VCCPK"
"unlcd:VCCRP","Campden Park",,"unlcdf:1, unlcdf:3",,"unlcdc:VC","13.166667","-61.233334","VCCRP"
"unlcd:VCGRG","Georgetown",,"unlcdf:1, unlcdf:3, unlcdf:6",,"unlcdc:VC","13.266666","-61.116665","VCGRG"
"unlcd:VCKTN","Kingstown",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:VC","13.133333","-61.216667","VCKTN"
"unlcd:VCMQS","Mustique Island",,"unlcdf:1, unlcdf:4",,"unlcdc:VC",,,"VCMQS"
"unlcd:VCPLI","Palm Island",,"unlcdf:4",,"unlcdc:VC","12.35","-61.233334","VCPLI"
"unlcd:VCSVD","Saint Vincent",,"unlcdf:1, unlcdf:4",,"unlcdc:VC",,,"VCSVD"
"unlcd:VCUNI","Union Island",,"unlcdf:1, unlcdf:4",,"unlcdc:VC",,,"VCUNI"
