"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VE9VA","Vargas",,"unlcdf:3","unlcds:VED","unlcdc:VE","10.0","-67.083336","VE9VA"
"unlcd:VEAAO","Anaco",,"unlcdf:4",,"unlcdc:VE",,,"VEAAO"
"unlcd:VEADV","Agua de Vaca",,"unlcdf:6","unlcds:VEO","unlcdc:VE","11.0","-63.966667","VEADV"
"unlcd:VEAGU","Aragua de Barcelona",,"unlcdf:3",,"unlcdc:VE","9.433333","-64.48333","VEAGU"
"unlcd:VEAGV","Acarigua",,"unlcdf:4",,"unlcdc:VE",,,"VEAGV"
"unlcd:VEAGX","Colonia Tovar",,"unlcdf:3","unlcds:VED","unlcdc:VE","10.416667","-67.28333","VEAGX"
"unlcd:VEAMY","Amuay",,"unlcdf:1",,"unlcdc:VE",,,"VEAMY"
"unlcd:VEANT","San Antonio de Los Altos",,"unlcdf:3",,"unlcdc:VE","10.366667","-66.933334","VEANT"
"unlcd:VEAR2","Turmero",,"unlcdf:3","unlcds:VED","unlcdc:VE","10.233334","-67.48333","VEAR2"
"unlcd:VEARA","Araya",,"unlcdf:1",,"unlcdc:VE",,,"VEARA"
"unlcd:VEARR","Araira",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.45","-66.48333","VEARR"
"unlcd:VEAUR","Araure",,"unlcdf:6","unlcds:VEP","unlcdc:VE","9.566667","-69.21667","VEAUR"
"unlcd:VEBAV","Bachaquero/Maracaibo L",,"unlcdf:1",,"unlcdc:VE",,,"VEBAV"
"unlcd:VEBJV","Bajo Grande/Maracaibo L",,"unlcdf:1",,"unlcdc:VE",,,"VEBJV"
"unlcd:VEBLA","Barcelona",,"unlcdf:4",,"unlcdc:VE",,,"VEBLA"
"unlcd:VEBNS","Barinas",,"unlcdf:4",,"unlcdc:VE",,,"VEBNS"
"unlcd:VEBOC","Boca Grande",,"unlcdf:3","unlcds:VEL","unlcdc:VE","8.583333","-71.65","VEBOC"
"unlcd:VEBOR","Borburata",,"unlcdf:3","unlcds:VEG","unlcdc:VE","10.433333","-67.95","VEBOR"
"unlcd:VEBRM","Barquisimeto",,"unlcdf:4",,"unlcdc:VE",,,"VEBRM"
"unlcd:VECAB","Carabobo",,"unlcdf:3","unlcds:VEF","unlcdc:VE","6.3","-61.433334","VECAB"
"unlcd:VECAJ","Canaima",,"unlcdf:4",,"unlcdc:VE",,,"VECAJ"
"unlcd:VECAL","Carrizal",,"unlcdf:6","unlcds:VEM","unlcdc:VE","10.35","-66.98333","VECAL"
"unlcd:VECAR","Caripito",,"unlcdf:1, unlcdf:3","unlcds:VEN","unlcdc:VE","10.133333","-63.033333","VECAR"
"unlcd:VECBL","Ciudad Bolívar","Ciudad Bolivar","unlcdf:1, unlcdf:4","unlcds:VEF","unlcdc:VE","8.116667","-63.55","VECBL"
"unlcd:VECBS","Cabimas/Maracaibo L",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECBS"
"unlcd:VECCS","Caracas",,"unlcdf:4, unlcdf:5",,"unlcdc:VE",,,"VECCS"
"unlcd:VECGA","Cagua",,"unlcdf:3","unlcds:VED","unlcdc:VE","10.183333","-67.45","VECGA"
"unlcd:VECGU","Ciudad Guayana",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECGU"
"unlcd:VECHA","Charallave",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.233334","-66.85","VECHA"
"unlcd:VECHC","Chivacoa",,"unlcdf:3","unlcds:VEU","unlcdc:VE","10.15","-68.88333","VECHC"
"unlcd:VECHQ","Chiquinquirá","Chiquinquira","unlcdf:1, unlcdf:3","unlcds:VEV","unlcdc:VE","10.433333","-71.63333","VECHQ"
"unlcd:VECHV","Chichiriviche",,"unlcdf:1",,"unlcdc:VE",,,"VECHV"
"unlcd:VECLM","Catia La Mar",,"unlcdf:0",,"unlcdc:VE",,,"VECLM"
"unlcd:VECLZ","Calabozo",,"unlcdf:4",,"unlcdc:VE",,,"VECLZ"
"unlcd:VECMR","Puerto Cumarebo",,"unlcdf:1, unlcdf:3","unlcds:VEI","unlcdc:VE","11.483334","-69.35","VECMR"
"unlcd:VECOL","Coloncha",,"unlcdf:0",,"unlcdc:VE",,,"VECOL"
"unlcd:VECRD","Cabudare",,"unlcdf:3","unlcds:VEK","unlcdc:VE","10.016666","-69.25","VECRD"
"unlcd:VECRI","Cristobal",,"unlcdf:3","unlcds:VET","unlcdc:VE","9.216666","-70.833336","VECRI"
"unlcd:VECUA","Cantaura",,"unlcdf:3","unlcds:VEB","unlcdc:VE","9.3","-64.35","VECUA"
"unlcd:VECUM","Cumana",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECUM"
"unlcd:VECUP","Carupano",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECUP"
"unlcd:VECUR","Curazaito",,"unlcdf:3","unlcds:VEV","unlcdc:VE","10.366667","-71.28333","VECUR"
"unlcd:VECUU","Cua",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.166667","-66.88333","VECUU"
"unlcd:VECUV","Casigua",,"unlcdf:4",,"unlcdc:VE",,,"VECUV"
"unlcd:VECXA","Caicara de Orinoco",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECXA"
"unlcd:VECZE","Coro",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VECZE"
"unlcd:VEDG8","Guanadito",,"unlcdf:3","unlcds:VEI","unlcdc:VE","11.766666","-70.166664","VEDG8"
"unlcd:VEDUA","Duaca",,"unlcdf:3","unlcds:VEK","unlcdc:VE","10.283334","-69.15","VEDUA"
"unlcd:VEECJ","El Consejo",,"unlcdf:6","unlcds:VED","unlcdc:VE","10.233334","-67.26667","VEECJ"
"unlcd:VEECL","El Cafetal",,"unlcdf:6","unlcds:VEM","unlcdc:VE","10.466666","-66.816666","VEECL"
"unlcd:VEEGU","El Guamache",,"unlcdf:1",,"unlcdc:VE",,,"VEEGU"
"unlcd:VEEHT","El Hatillo",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.433333","-66.816666","VEEHT"
"unlcd:VEEJT","El Junquito",,"unlcdf:6","unlcds:VEA","unlcdc:VE","10.466666","-67.083336","VEEJT"
"unlcd:VEELC","El Chaure",,"unlcdf:1","unlcds:VEB","unlcdc:VE","10.25","-64.61667","VEELC"
"unlcd:VEELJ","El Jose",,"unlcdf:3, unlcdf:6","unlcds:VEB","unlcdc:VE","10.083333","-65.916664","VEELJ"
"unlcd:VEELP","El Palito",,"unlcdf:1",,"unlcdc:VE",,,"VEELP"
"unlcd:VEELX","El Tigre",,"unlcdf:4",,"unlcdc:VE",,,"VEELX"
"unlcd:VEENC","La Encrucijada",,"unlcdf:3","unlcds:VED","unlcdc:VE","10.2","-67.46667","VEENC"
"unlcd:VEEOR","El Dorado",,"unlcdf:4",,"unlcdc:VE",,,"VEEOR"
"unlcd:VEEOZ","Elorza",,"unlcdf:4",,"unlcdc:VE",,,"VEEOZ"
"unlcd:VEEPL","El Pinal",,"unlcdf:6","unlcds:VEC","unlcdc:VE","7.366667","-68.7","VEEPL"
"unlcd:VEEPY","El Playon",,"unlcdf:6","unlcds:VEP","unlcdc:VE","9.1","-69.03333","VEEPY"
"unlcd:VEESB","El Sombrero",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.016666","-65.6","VEESB"
"unlcd:VEETC","El Tocuyo",,"unlcdf:3","unlcds:VEK","unlcdc:VE","9.766666","-69.78333","VEETC"
"unlcd:VEETV","El Tablazo/Maracaibo L",,"unlcdf:1",,"unlcdc:VE",,,"VEETV"
"unlcd:VEFDM","Fila de Mariches",,"unlcdf:6","unlcds:VEM","unlcdc:VE","10.383333","-66.6","VEFDM"
"unlcd:VEGCR","Guacara",,"unlcdf:3",,"unlcdc:VE","10.233334","-67.88333","VEGCR"
"unlcd:VEGDO","Guasdualito",,"unlcdf:4",,"unlcdc:VE",,,"VEGDO"
"unlcd:VEGGU","Guaraguao",,"unlcdf:3","unlcds:VEB","unlcdc:VE","10.95","-63.833332","VEGGU"
"unlcd:VEGTM","Guatire",,"unlcdf:6","unlcds:VEM","unlcdc:VE","10.466666","-66.53333","VEGTM"
"unlcd:VEGUA","Guaranao",,"unlcdf:1, unlcdf:3",,"unlcdc:VE","11.7","-70.15","VEGUA"
"unlcd:VEGUB","Guaranao Bay",,"unlcdf:1",,"unlcdc:VE",,,"VEGUB"
"unlcd:VEGUI","Guiria",,"unlcdf:1, unlcdf:4",,"unlcdc:VE",,,"VEGUI"
"unlcd:VEGUO","Guaracarumbo",,"unlcdf:3","unlcds:VEA","unlcdc:VE","10.566667","-66.98333","VEGUO"
"unlcd:VEGUQ","Guanare",,"unlcdf:4",,"unlcdc:VE",,,"VEGUQ"
"unlcd:VEGUT","Guanta",,"unlcdf:1",,"unlcdc:VE",,,"VEGUT"
"unlcd:VEHIE","Higuerote",,"unlcdf:3","unlcds:VEM","unlcdc:VE","10.483334","-66.1","VEHIE"
