"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VGEIS","Beef Island, Tortola",,"unlcdf:1, unlcdf:4",,"unlcdc:VG",,,"VGEIS"
"unlcd:VGJVD","Jost Van Dyke",,"unlcdf:1",,"unlcdc:VG","18.45","-64.73333","VGJVD"
"unlcd:VGNGD","Anegada",,"unlcdf:4",,"unlcdc:VG",,,"VGNGD"
"unlcd:VGNIS","Norman Island",,"unlcdf:1",,"unlcdc:VG","18.316668","-64.61667","VGNIS"
"unlcd:VGNSX","N. Sound/Virgin Gorda",,"unlcdf:4",,"unlcdc:VG",,,"VGNSX"
"unlcd:VGOP9","Spanish Town",,"unlcdf:3",,"unlcdc:VG","18.45","-64.433334","VGOP9"
"unlcd:VGPUR","Port Purcell",,"unlcdf:1, unlcdf:6",,"unlcdc:VG","18.416666","-64.6","VGPUR"
"unlcd:VGRAD","Road Town, Tortola",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:VG",,,"VGRAD"
"unlcd:VGSHO","Sopers Hole",,"unlcdf:1",,"unlcdc:VG","18.383333","-64.7","VGSHO"
"unlcd:VGTOV","Tortola",,"unlcdf:1, unlcdf:4",,"unlcdc:VG",,,"VGTOV"
"unlcd:VGVIJ","Virgin Gorda",,"unlcdf:4",,"unlcdc:VG",,,"VGVIJ"
