"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VIAGL","Anguilla",,"unlcdf:3",,"unlcdc:VI","17.7","-64.76667","VIAGL"
"unlcd:VICHA","Charlotte Amalie, Saint Thomas",,"unlcdf:1",,"unlcdc:VI",,,"VICHA"
"unlcd:VICTD","Christiansted, Saint Croix",,"unlcdf:1",,"unlcdc:VI","17.75","-64.75","VICTD"
"unlcd:VICZB","Cruz Bay, Saint John",,"unlcdf:1, unlcdf:3",,"unlcdc:VI","18.333334","-64.8","VICZB"
"unlcd:VIENP","Enighed Pond",,"unlcdf:1",,"unlcdc:VI",,,"VIENP"
"unlcd:VIFRD","Frederiksted, Saint Croix",,"unlcdf:1",,"unlcdc:VI",,,"VIFRD"
"unlcd:VIHOC","Hovic",,"unlcdf:1",,"unlcdc:VI",,,"VIHOC"
"unlcd:VIKIN","Kingshill",,"unlcdf:6",,"unlcdc:VI","17.716667","-64.86667","VIKIN"
"unlcd:VILIB","Limetree Bay",,"unlcdf:1",,"unlcdc:VI",,,"VILIB"
"unlcd:VION6","Altona",,"unlcdf:3",,"unlcdc:VI","18.333334","-64.933334","VION6"
"unlcd:VIPAX","Port Alucroix",,"unlcdf:1, unlcdf:3, unlcdf:6",,"unlcdc:VI","17.7","-64.76667","VIPAX"
"unlcd:VISJN","Saint John, Saint Croix Is",,"unlcdf:3",,"unlcdc:VI","17.75","-64.73333","VISJN"
"unlcd:VISTT","Saint Thomas",,"unlcdf:1, unlcdf:4",,"unlcdc:VI","18.35","-64.933334","VISTT"
"unlcd:VISTX","Saint Croix",,"unlcdf:3, unlcdf:4",,"unlcdc:VI","17.75","-64.73333","VISTX"
