"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VN7BR","Bà Ria","Ba Ria","unlcdf:3","unlcds:VN43","unlcdc:VN","10.5","107.166664","VN7BR"
"unlcd:VNAGG","An Giang",,"unlcdf:3","unlcds:VN44","unlcdc:VN",,,"VNAGG"
"unlcd:VNANP","An Phú","An Phu","unlcdf:3","unlcds:VN44","unlcdc:VN","10.85","105.083336","VNANP"
"unlcd:VNBAN","Cam Lâm","Cam Lam","unlcdf:1, unlcdf:2, unlcdf:3","unlcds:VN34","unlcdc:VN","11.9","109.15","VNBAN"
"unlcd:VNBAO","Bao Loc",,"unlcdf:1","unlcds:VN35","unlcdc:VN",,,"VNBAO"
"unlcd:VNBCD","Ben Dam Con Dao Terminals",,"unlcdf:1","unlcds:VN43","unlcdc:VN","8.65","106.55","VNBCD"
"unlcd:VNBCH","Bình Chánh","Binh Chanh","unlcdf:6","unlcds:VNSG","unlcdc:VN","10.666667","106.566666","VNBCH"
"unlcd:VNBCT","Ben Cát","Ben Cat","unlcdf:3",,"unlcdc:VN","11.15","106.6","VNBCT"
"unlcd:VNBDG","Binh Duong Terminal",,"unlcdf:1, unlcdf:3","unlcds:VN57","unlcdc:VN","10.9","106.833336","VNBDG"
"unlcd:VNBDH","Binh Dinh",,"unlcdf:3","unlcds:VN31","unlcdc:VN",,,"VNBDH"
"unlcd:VNBDU","Binh Duong",,"unlcdf:1, unlcdf:3","unlcds:VN27","unlcdc:VN",,,"VNBDU"
"unlcd:VNBEN","Benthuy",,"unlcdf:1",,"unlcdc:VN",,,"VNBEN"
"unlcd:VNBGG","Bac Giang",,"unlcdf:3","unlcds:VN54","unlcdc:VN",,,"VNBGG"
"unlcd:VNBHA","Biên Hòa","Bien Hoa","unlcdf:3",,"unlcdc:VN","10.966666","106.833336","VNBHA"
"unlcd:VNBHO","Bach Ho",,"unlcdf:1","unlcds:VN40","unlcdc:VN","9.833333","108.0","VNBHO"
"unlcd:VNBIH","Bình Hòa","Binh Hoa","unlcdf:3",,"unlcdc:VN","10.933333","106.71667","VNBIH"
"unlcd:VNBLG","Binh Long Port",,"unlcdf:1","unlcds:VN44","unlcdc:VN","10.566667","105.25","VNBLG"
"unlcd:VNBLU","Bac Lieu",,"unlcdf:3","unlcds:VN55","unlcdc:VN","9.283334","105.71667","VNBLU"
"unlcd:VNBMH","Binh Minh",,"unlcdf:1, unlcdf:3",,"unlcdc:VN","10.333333","105.816666","VNBMH"
"unlcd:VNBMV","Banmethuot",,"unlcdf:4",,"unlcdc:VN","12.666667","108.1","VNBMV"
"unlcd:VNBNE","Bèn Nghè","Ben Nghe","unlcdf:3",,"unlcdc:VN","19.266666","105.6","VNBNE"
