"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:VUAUY","Aneityum",,"unlcdf:4",,"unlcdc:VU",,,"VUAUY"
"unlcd:VUAWD","Aniwa",,"unlcdf:4",,"unlcdc:VU",,,"VUAWD"
"unlcd:VUCCV","Craig Cove",,"unlcdf:4",,"unlcdc:VU",,,"VUCCV"
"unlcd:VUDLY","Dillon's Bay",,"unlcdf:4","unlcds:VUTAE","unlcdc:VU","-18.816668","169.0","VUDLY"
"unlcd:VUEAE","Émae","Emae","unlcdf:4",,"unlcdc:VU","-17.066668","168.36667","VUEAE"
"unlcd:VUEPI","Épi","Epi","unlcdf:4",,"unlcdc:VU","-16.716667","168.25","VUEPI"
"unlcd:VUFTA","Futuna Island",,"unlcdf:4",,"unlcdc:VU",,,"VUFTA"
"unlcd:VUGBA","Big Bay",,"unlcdf:4",,"unlcdc:VU",,,"VUGBA"
"unlcd:VUHNH","Havannah Harbour",,"unlcdf:6","unlcds:VUSEE","unlcdc:VU","-17.583334","168.23334","VUHNH"
"unlcd:VUIPA","Ipota",,"unlcdf:4",,"unlcdc:VU",,,"VUIPA"
"unlcd:VULNB","Lamen Bay",,"unlcdf:4",,"unlcdc:VU",,,"VULNB"
"unlcd:VULNE","Lonorore",,"unlcdf:4",,"unlcdc:VU",,,"VULNE"
"unlcd:VULOD","Longana",,"unlcdf:4",,"unlcdc:VU",,,"VULOD"
"unlcd:VULPM","Lamap",,"unlcdf:4",,"unlcdc:VU",,,"VULPM"
"unlcd:VULUG","Luganville",,"unlcdf:1, unlcdf:3","unlcds:VUSAM","unlcdc:VU","-15.533334","167.16667","VULUG"
"unlcd:VUMTV","Mota Lava",,"unlcdf:4",,"unlcdc:VU",,,"VUMTV"
"unlcd:VUMWF","Maéwo","Maewo","unlcdf:4",,"unlcdc:VU","-15.166667","168.16667","VUMWF"
"unlcd:VUNUS","Norsup",,"unlcdf:4",,"unlcdc:VU",,,"VUNUS"
"unlcd:VUOLJ","Olpoi",,"unlcdf:4",,"unlcdc:VU",,,"VUOLJ"
"unlcd:VUPBJ","Paama",,"unlcdf:4",,"unlcdc:VU",,,"VUPBJ"
"unlcd:VUPSA","Port Sandwich",,"unlcdf:1",,"unlcdc:VU",,,"VUPSA"
"unlcd:VURCL","Redcliffe",,"unlcdf:4",,"unlcdc:VU",,,"VURCL"
"unlcd:VUSAN","Santo",,"unlcdf:1",,"unlcdc:VU",,,"VUSAN"
"unlcd:VUSLH","Sola",,"unlcdf:4",,"unlcdc:VU",,,"VUSLH"
"unlcd:VUSON","Espiritu Santo",,"unlcdf:4",,"unlcdc:VU",,,"VUSON"
"unlcd:VUSSR","Sara",,"unlcdf:4",,"unlcdc:VU",,,"VUSSR"
"unlcd:VUSWJ","South West Bay",,"unlcdf:4",,"unlcdc:VU",,,"VUSWJ"
"unlcd:VUTAH","Tanna",,"unlcdf:4",,"unlcdc:VU",,,"VUTAH"
"unlcd:VUTGH","Tongoa",,"unlcdf:4",,"unlcdc:VU",,,"VUTGH"
"unlcd:VUTOH","Torres",,"unlcdf:4",,"unlcdc:VU",,,"VUTOH"
"unlcd:VUUIQ","Quine Hill",,"unlcdf:4",,"unlcdc:VU",,,"VUUIQ"
"unlcd:VUULB","Ulei",,"unlcdf:4",,"unlcdc:VU",,,"VUULB"
"unlcd:VUVLI","Port Vila",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:VU",,,"VUVLI"
"unlcd:VUVLS","Valesdir",,"unlcdf:4",,"unlcdc:VU",,,"VUVLS"
"unlcd:VUWLH","Walaha",,"unlcdf:4",,"unlcdc:VU",,,"VUWLH"
"unlcd:VUZGU","Gaua",,"unlcdf:4",,"unlcdc:VU",,,"VUZGU"
