"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:XZAAD","Aasgard",,"unlcdf:1",,"unlcdc:XZ","65.083336","6.7333336","XZAAD"
"unlcd:XZALV","Alve",,"unlcdf:7",,"unlcdc:XZ","65.96667","7.5","XZALV"
"unlcd:XZANT","Ardjuna",,"unlcdf:1",,"unlcdc:XZ","-5.9","105.95","XZANT"
"unlcd:XZANU","Anoa Natuna",,"unlcdf:1",,"unlcdc:XZ","5.233333","105.6","XZANU"
"unlcd:XZBRA","Brage",,"unlcdf:7",,"unlcdc:XZ","60.583332","3.0833333","XZBRA"
"unlcd:XZBUV","Buffalo Venture",,"unlcdf:1",,"unlcdc:XZ",,,"XZBUV"
"unlcd:XZCMT","Camar Marine Terminal",,"unlcdf:1",,"unlcdc:XZ","-6.3","113.0","XZCMT"
"unlcd:XZDHS","Dai Hung (STS Load)",,"unlcdf:1",,"unlcdc:XZ","8.866667","103.3","XZDHS"
"unlcd:XZDHT","Dai Hung (Tandem Load)",,"unlcdf:1",,"unlcdc:XZ","8.466666","108.683334","XZDHT"
"unlcd:XZDRA","Draugen",,"unlcdf:1",,"unlcdc:XZ","64.333336","7.75","XZDRA"
"unlcd:XZDRT","De Ruiter",,"unlcdf:3",,"unlcdc:XZ",,,"XZDRT"
"unlcd:XZDTL","Dulang Marine Terminal",,"unlcdf:1",,"unlcdc:XZ","5.8","104.166664","XZDTL"
"unlcd:XZFRM","Fram",,"unlcdf:7",,"unlcdc:XZ","61.083332","3.5","XZFRM"
"unlcd:XZGJO","Gjoa",,"unlcdf:7",,"unlcdc:XZ","61.366665","4.0","XZGJO"
"unlcd:XZGRA","Grane",,"unlcdf:7",,"unlcdc:XZ","59.166668","2.5","XZGRA"
"unlcd:XZHEI","Heidrun",,"unlcdf:1",,"unlcdc:XZ","65.316666","7.3333335","XZHEI"
"unlcd:XZHUL","Huldra",,"unlcdf:7",,"unlcdc:XZ","60.866665","2.6666667","XZHUL"
"unlcd:XZKBJ","Kvitebjorn",,"unlcdf:7",,"unlcdc:XZ","61.083332","2.5","XZKBJ"
"unlcd:XZKMT","Kakap Marine Terminal",,"unlcdf:1",,"unlcdc:XZ","5.016667","105.95","XZKMT"
"unlcd:XZKRI","Kristin",,"unlcdf:7",,"unlcdc:XZ","65.03333","6.4166665","XZKRI"
"unlcd:XZLAM","Laminaria Terminal",,"unlcdf:1",,"unlcdc:XZ","-11.0","126.0","XZLAM"
"unlcd:XZLGT","Legendre Terminal",,"unlcdf:1",,"unlcdc:XZ",,,"XZLGT"
"unlcd:XZMKL","Mikkel",,"unlcdf:7",,"unlcdc:XZ","64.666664","7.75","XZMKL"
"unlcd:XZMVI","Morvin",,"unlcdf:7",,"unlcdc:XZ","65.13333","6.4666667","XZMVI"
"unlcd:XZNJO","Njord",,"unlcdf:1",,"unlcdc:XZ","64.25","7.2","XZNJO"
"unlcd:XZNNE","Norne",,"unlcdf:1",,"unlcdc:XZ","66.0","7.9833336","XZNNE"
"unlcd:XZNTE","Northern Endeavour",,"unlcdf:1",,"unlcdc:XZ",,,"XZNTE"
"unlcd:XZOCA","Co-operation Zone A (AU,ID)",,"unlcdf:1",,"unlcdc:XZ",,,"XZOCA"
"unlcd:XZSBY","Sibuko Bay",,"unlcdf:1",,"unlcdc:XZ","3.85","118.1","XZSBY"
"unlcd:XZSHA","Al Shaheen terminal",,"unlcdf:1",,"unlcdc:XZ","26.583334","52.0","XZSHA"
"unlcd:XZSHV","Snohvit",,"unlcdf:7",,"unlcdc:XZ","71.61667","21.416666","XZSHV"
"unlcd:XZSTP","Stage Platform",,"unlcdf:1",,"unlcdc:XZ",,,"XZSTP"
"unlcd:XZSUU","Suursaq",,"unlcdf:1, unlcdf:4, unlcdf:6",,"unlcdc:XZ","80.816666","-66.63333","XZSUU"
"unlcd:XZSYG","Sygna",,"unlcdf:7",,"unlcdc:XZ","61.5","2.0","XZSYG"
"unlcd:XZTGR","Tandjung Gerem",,"unlcdf:1",,"unlcdc:XZ","5.9666667","105.98333","XZTGR"
"unlcd:XZTHA","Tyrihans",,"unlcdf:7",,"unlcdc:XZ","64.816666","7.05","XZTHA"
"unlcd:XZTUN","Tune",,"unlcdf:7",,"unlcdc:XZ","60.5","2.6666667","XZTUN"
"unlcd:XZURD","Urd",,"unlcdf:7",,"unlcdc:XZ","66.03333","8.383333","XZURD"
"unlcd:XZVFK","Veslefrikk",,"unlcdf:7",,"unlcdc:XZ","60.783333","2.8833332","XZVFK"
"unlcd:XZVGD","Vigdis",,"unlcdf:7",,"unlcdc:XZ","61.416668","2.1666667","XZVGD"
"unlcd:XZVIL","Vilje",,"unlcdf:7",,"unlcdc:XZ","59.666668","2.2833333","XZVIL"
"unlcd:XZVOV","Volve",,"unlcdf:7",,"unlcdc:XZ","58.416668","1.9166667","XZVOV"
"unlcd:XZVSU","Visund",,"unlcdf:7",,"unlcdc:XZ","61.466667","2.5","XZVSU"
"unlcd:XZWRT","Widuri Marine Terminal",,"unlcdf:1",,"unlcdc:XZ","-4.6666665","106.65","XZWRT"
"unlcd:XZYET","Yetagun Field",,"unlcdf:1",,"unlcdc:XZ","13.05","96.85","XZYET"
"unlcd:XZYGT","Yttergryta",,"unlcdf:7",,"unlcdc:XZ","65.11667","7.7","XZYGT"
