"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:YEAAY","Al Ghaydah",,"unlcdf:4",,"unlcdc:YE",,,"YEAAY"
"unlcd:YEADE","Aden",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:YE",,,"YEADE"
"unlcd:YEADN","'Adan",,"unlcdf:6","unlcds:YEAD","unlcdc:YE","12.766666","45.033333","YEADN"
"unlcd:YEAHW","Ahwar",,"unlcdf:1",,"unlcdc:YE",,,"YEAHW"
"unlcd:YEAJO","Aljouf",,"unlcdf:4","unlcds:YEAB","unlcdc:YE","13.833333","45.833332","YEAJO"
"unlcd:YEASR","Ash Shihr",,"unlcdf:3",,"unlcdc:YE",,,"YEASR"
"unlcd:YEAXK","Ataq",,"unlcdf:4",,"unlcdc:YE",,,"YEAXK"
"unlcd:YEBHN","Beihan",,"unlcdf:4",,"unlcdc:YE",,,"YEBHN"
"unlcd:YEBLH","Balhaf",,"unlcdf:3","unlcds:YESH","unlcdc:YE","13.966666","48.183334","YEBLH"
"unlcd:YEBOG","Bogoa",,"unlcdf:3",,"unlcdc:YE",,,"YEBOG"
"unlcd:YEBUK","Albuq",,"unlcdf:4",,"unlcdc:YE","15.833333","43.766666","YEBUK"
"unlcd:YEBYD","Beidah",,"unlcdf:4","unlcds:YEBA","unlcdc:YE","13.983334","45.566666","YEBYD"
"unlcd:YEDAH","Dathina",,"unlcdf:4",,"unlcdc:YE",,,"YEDAH"
"unlcd:YEDHL","Dhala",,"unlcdf:4",,"unlcdc:YE",,,"YEDHL"
"unlcd:YEDMR","Dhamar",,"unlcdf:4",,"unlcdc:YE",,,"YEDMR"
"unlcd:YEEAB","Abbse",,"unlcdf:4",,"unlcdc:YE",,,"YEEAB"
"unlcd:YEELK","El Katieb",,"unlcdf:1",,"unlcdc:YE",,,"YEELK"
"unlcd:YEGXF","Seiyun",,"unlcdf:4",,"unlcdc:YE",,,"YEGXF"
"unlcd:YEHAR","Harad",,"unlcdf:1",,"unlcdc:YE",,,"YEHAR"
"unlcd:YEHAU","Haura",,"unlcdf:1",,"unlcdc:YE",,,"YEHAU"
"unlcd:YEHOD","Hodeidah",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:YE","14.833333","42.9","YEHOD"
"unlcd:YEIBB","Ibb",,"unlcdf:3",,"unlcdc:YE",,,"YEIBB"
"unlcd:YEIHN","Qishn",,"unlcdf:4",,"unlcdc:YE",,,"YEIHN"
"unlcd:YEKAM","Kamaran",,"unlcdf:4",,"unlcdc:YE",,,"YEKAM"
"unlcd:YEKHO","Khokha",,"unlcdf:1",,"unlcdc:YE",,,"YEKHO"
"unlcd:YELAD","Little Aden",,"unlcdf:1, unlcdf:3","unlcds:YEAD","unlcdc:YE","12.733334","44.866665","YELAD"
"unlcd:YELAW","Lawdar",,"unlcdf:3",,"unlcdc:YE",,,"YELAW"
"unlcd:YELDR","Lodar",,"unlcdf:4",,"unlcdc:YE",,,"YELDR"
"unlcd:YELEH","Lahj",,"unlcdf:3","unlcds:YELA","unlcdc:YE","13.05","44.883335","YELEH"
"unlcd:YELOH","Loheiya",,"unlcdf:0",,"unlcdc:YE",,,"YELOH"
"unlcd:YEMAH","Ma'allah",,"unlcdf:3","unlcds:YEAD","unlcdc:YE","12.783334","45.0","YEMAH"
"unlcd:YEMFY","Mayfa'ah",,"unlcdf:4",,"unlcdc:YE",,,"YEMFY"
"unlcd:YEMKX","Mukalla",,"unlcdf:1, unlcdf:4",,"unlcdc:YE",,,"YEMKX"
"unlcd:YEMOK","Mokha",,"unlcdf:1",,"unlcdc:YE",,,"YEMOK"
"unlcd:YEMYN","Mareb",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:YE",,,"YEMYN"
"unlcd:YENIS","Nishtun",,"unlcdf:0",,"unlcdc:YE",,,"YENIS"
"unlcd:YEPRM","Perim Island",,"unlcdf:1","unlcds:YETA","unlcdc:YE","12.65","43.416668","YEPRM"
"unlcd:YERAI","Ras Isa Terminal",,"unlcdf:1",,"unlcdc:YE","15.2","42.666668","YERAI"
"unlcd:YERAK","Ras Al Kalib",,"unlcdf:1",,"unlcdc:YE",,,"YERAK"
"unlcd:YERIY","Riyan Mukalla",,"unlcdf:4","unlcds:YEHD","unlcdc:YE","14.65","49.333332","YERIY"
"unlcd:YERXA","Raudha",,"unlcdf:4",,"unlcdc:YE",,,"YERXA"
"unlcd:YESAH","Sana'a",,"unlcdf:4",,"unlcdc:YE",,,"YESAH"
"unlcd:YESAL","Saleef Port",,"unlcdf:1",,"unlcdc:YE",,,"YESAL"
"unlcd:YESCT","Suqutrá","Suqutra","unlcdf:1, unlcdf:4",,"unlcdc:YE","12.5","54.0","YESCT"
"unlcd:YESYE","Sadah",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:YE",,,"YESYE"
"unlcd:YETAI","Taiz",,"unlcdf:4",,"unlcdc:YE",,,"YETAI"
"unlcd:YEUKR","Mukeiras",,"unlcdf:4",,"unlcdc:YE",,,"YEUKR"
"unlcd:YEWDA","Wadi Ain",,"unlcdf:4",,"unlcdc:YE","14.866667","45.533333","YEWDA"
"unlcd:YEZAM","Al Mukalla",,"unlcdf:6","unlcds:YEHD","unlcdc:YE","14.516666","49.116665","YEZAM"
