"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:YTBAN","Bandrele",,"unlcdf:3, unlcdf:6",,"unlcdc:YT","-12.9","45.166668","YTBAN"
"unlcd:YTCGU","Chirongui",,"unlcdf:6",,"unlcdc:YT","-12.933333","45.15","YTCGU"
"unlcd:YTCHN","Chiconi",,"unlcdf:3",,"unlcdc:YT","-12.833333","45.116665","YTCHN"
"unlcd:YTDZA","Dzaoudzi-Pamandzi Apt",,"unlcdf:1, unlcdf:4",,"unlcdc:YT","-12.8","45.283333","YTDZA"
"unlcd:YTKNG","Koungou",,"unlcdf:3",,"unlcdc:YT","-12.733334","45.2","YTKNG"
"unlcd:YTKNK","Kani-Kéli","Kani-Keli","unlcdf:1, unlcdf:3",,"unlcdc:YT","-12.95","45.1","YTKNK"
"unlcd:YTLON","Longoni",,"unlcdf:1, unlcdf:3",,"unlcdc:YT","-12.716666","45.166668","YTLON"
"unlcd:YTMAM","Mamoudzou",,"unlcdf:1",,"unlcdc:YT","-12.783334","45.233334","YTMAM"
"unlcd:YTMAY","Bouéni","Boueni","unlcdf:3",,"unlcdc:YT","-12.933333","45.116665","YTMAY"
"unlcd:YTMTS","Mtsamboro",,"unlcdf:3",,"unlcdc:YT","-12.7","45.066666","YTMTS"
"unlcd:YTPAS","Passamainty",,"unlcdf:3",,"unlcdc:YT","-12.8","45.216667","YTPAS"
"unlcd:YTSAD","Sada",,"unlcdf:3",,"unlcdc:YT","-12.85","45.1","YTSAD"
