"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ZA2WC","Klipheuwel",,"unlcdf:1, unlcdf:6","unlcds:ZAWC","unlcdc:ZA","-33.7","18.7","ZA2WC"
"unlcd:ZA3WC","Goudiniweg",,"unlcdf:1, unlcdf:6","unlcds:ZAWC","unlcdc:ZA","-34.6","19.316668","ZA3WC"
"unlcd:ZA7WC","Riviersonderend",,"unlcdf:1, unlcdf:6","unlcds:ZAWC","unlcdc:ZA","-34.15","19.9","ZA7WC"
"unlcd:ZA8GT","Bottelary",,"unlcdf:1, unlcdf:6","unlcds:ZAWC","unlcdc:ZA","-33.133335","18.1","ZA8GT"
"unlcd:ZAAAM","Mala Mala",,"unlcdf:4",,"unlcdc:ZA",,,"ZAAAM"
"unlcd:ZAABT","Alberton",,"unlcdf:3",,"unlcdc:ZA","-26.25","28.116667","ZAABT"
"unlcd:ZAADO","Addo",,"unlcdf:3","unlcds:ZAEC","unlcdc:ZA","-33.566666","25.683332","ZAADO"
"unlcd:ZAADY","Alldays",,"unlcdf:4",,"unlcdc:ZA",,,"ZAADY"
"unlcd:ZAAET","Aeroton",,"unlcdf:3","unlcds:ZAGP","unlcdc:ZA","-26.25","27.966667","ZAAET"
"unlcd:ZAAFD","Port Alfred",,"unlcdf:4",,"unlcdc:ZA",,,"ZAAFD"
"unlcd:ZAAGP","Algoapark",,"unlcdf:3","unlcds:ZAEC","unlcdc:ZA","-33.9","25.566668","ZAAGP"
"unlcd:ZAAGZ","Aggeneys",,"unlcdf:4",,"unlcdc:ZA","-29.2","18.85","ZAAGZ"
"unlcd:ZAALH","Lothair",,"unlcdf:3, unlcdf:6","unlcds:ZAMP","unlcdc:ZA","-26.383333","30.433332","ZAALH"
"unlcd:ZAALI","Alice",,"unlcdf:3","unlcds:ZAEC","unlcdc:ZA","-32.783333","26.833334","ZAALI"
"unlcd:ZAALJ","Alexander Bay",,"unlcdf:4",,"unlcdc:ZA",,,"ZAALJ"
"unlcd:ZAALN","Alton",,"unlcdf:6","unlcds:ZAKZN","unlcdc:ZA","-28.766666","32.016666","ZAALN"
"unlcd:ZAALR","Alrode",,"unlcdf:3",,"unlcdc:ZA","-26.283333","28.133333","ZAALR"
"unlcd:ZAAME","Amersfoort",,"unlcdf:3","unlcds:ZAMP","unlcdc:ZA","-27.016666","29.866667","ZAAME"
"unlcd:ZAAMU","Amatikulu",,"unlcdf:3","unlcds:ZAKZN","unlcdc:ZA","-29.05","31.533333","ZAAMU"
"unlcd:ZAAMZ","Amanzimtoti",,"unlcdf:3",,"unlcdc:ZA","-30.083334","30.85","ZAAMZ"
"unlcd:ZAANL","Addington",,"unlcdf:3","unlcds:ZAKZN","unlcdc:ZA","-29.85","31.033333","ZAANL"
"unlcd:ZAAOB","Algoa Bay",,"unlcdf:1",,"unlcdc:ZA",,,"ZAAOB"
"unlcd:ZAAS3","Mdantsane",,"unlcdf:3","unlcds:ZAEC","unlcdc:ZA","-32.95","27.766666","ZAAS3"
"unlcd:ZAASG","Assagay",,"unlcdf:3","unlcds:ZAKZN","unlcdc:ZA","-29.783333","30.733334","ZAASG"
