"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ZWBAT","Bata",,"unlcdf:3",,"unlcdc:ZW",,,"ZWBAT"
"unlcd:ZWBBG","Beitbridge",,"unlcdf:3",,"unlcdc:ZW","-22.216667","30.0","ZWBBG"
"unlcd:ZWBFO","Buffalo Range",,"unlcdf:4",,"unlcdc:ZW",,,"ZWBFO"
"unlcd:ZWBGV","Belgravia",,"unlcdf:3","unlcds:ZWHA","unlcdc:ZW","-17.8","31.033333","ZWBGV"
"unlcd:ZWBIN","Bindura",,"unlcdf:3",,"unlcdc:ZW","-17.3","31.316668","ZWBIN"
"unlcd:ZWBUQ","Bulawayo",,"unlcdf:4, unlcdf:5",,"unlcdc:ZW",,,"ZWBUQ"
"unlcd:ZWBZH","Bumi Hills",,"unlcdf:4",,"unlcdc:ZW",,,"ZWBZH"
"unlcd:ZWCGW","Chitungwiza",,"unlcdf:3","unlcds:ZWHA","unlcdc:ZW","-18.0","31.05","ZWCGW"
"unlcd:ZWCHE","Chegutu",,"unlcdf:1, unlcdf:6","unlcds:ZWMW","unlcdc:ZW","-18.133333","30.15","ZWCHE"
"unlcd:ZWCHI","Chiredzi",,"unlcdf:2, unlcdf:3",,"unlcdc:ZW","-21.05","31.666666","ZWCHI"
"unlcd:ZWCHJ","Chipinge",,"unlcdf:4",,"unlcdc:ZW",,,"ZWCHJ"
"unlcd:ZWCIM","Chimanimani",,"unlcdf:6","unlcds:ZWMA","unlcdc:ZW","-19.8","32.866665","ZWCIM"
"unlcd:ZWDW3","Darwendale",,"unlcdf:3","unlcds:ZWMW","unlcdc:ZW","-17.716667","30.55","ZWDW3"
"unlcd:ZWFLU","Filabusi",,"unlcdf:1, unlcdf:6","unlcds:ZWMS","unlcdc:ZW","-20.533333","29.283333","ZWFLU"
"unlcd:ZWGDE","Glendale",,"unlcdf:3","unlcds:ZWMC","unlcdc:ZW","-17.35","31.05","ZWGDE"
"unlcd:ZWGOK","Gokwe",,"unlcdf:6","unlcds:ZWMI","unlcdc:ZW","-18.216667","28.933332","ZWGOK"
"unlcd:ZWGTS","Graniteside",,"unlcdf:3","unlcds:ZWHA","unlcdc:ZW","-17.85","31.05","ZWGTS"
"unlcd:ZWGTU","Gutu",,"unlcdf:3","unlcds:ZWMV","unlcdc:ZW","-19.65","31.166666","ZWGTU"
